Gene	in_sc	in_sp	class	categories	traits
ABCC9	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy
ABL1	True	False	impute	CHD	Atrial_septal_defect;Ventricular_septal_defect
ACTA2	True	False	impute	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
ACTB	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ACTC1	True	False	impute	CHD;CardiovascularDisease	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy;Ventricular_septal_defect
ACTN2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
ACVR1	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract
ACVR2B	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
ADAMTS10	True	False	impute	CHD	Valve_defects;Ventricular_septal_defect
AHNAK	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
AKAP12	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ALPK3	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
ANK3	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
ANKRD1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
ANKRD11	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Valve_defects;Ventricular_septal_defect
ARID1A	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
ARID1B	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect
B3GAT3	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
BAG3	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
BAG5	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
BCOR	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
BMPR2	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract
BRAF	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects
CACNA1A	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CAD	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CAP2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
CAV3	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
CDK13	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects;Ventricular_septal_defect
CFC1	True	False	impute	CHD	Atrioventricular_septal_defect;Malformation_of_the_outflow_tract
CHD4	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Ventricular_septal_defect
CHD7	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants
CHST14	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract
CITED2	True	False	impute	CHD	Atrial_septal_defect;Ventricular_septal_defect
CLUH	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
COQ9	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
CORIN	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
CREBBP	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
CRELD1	True	False	impute	CHD	Atrioventricular_septal_defect
CRYAB	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
CSRP3	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
CTNNB1	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
CYP21A2	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
DES	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy
DGUOK	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
DLL4	True	False	impute	CHD	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
DMD	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
DNAH11	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects
DNAH5	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Ventricular_septal_defect
DSCAML1	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
DSG2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
DSP	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
DTNA	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
EFTUD2	True	False	impute	CHD	Atrial_septal_defect
EHMT1	True	False	impute	CHD	Valve_defects
ELN	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects
ESCO2	True	False	impute	CHD	Valve_defects;Ventricular_septal_defect
EVC	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
EVC2	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
EYA4	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
FBN1	True	False	impute	CHD;CardiovascularDisease;PCGC_DeNovoVariants	Familial_thoracic_aortic_aneurysm_and_aortic_dissection;PCGC_DeNovoVariants;Valve_defects
FBN3	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
FGFR2	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects
FHOD3	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
FKTN	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
FLII	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
FLNA	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease
FLNC	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
FLT4	True	False	impute	CHD;PCGC_DeNovoVariants	Malformation_of_the_outflow_tract;PCGC_DeNovoVariants
FNIP1	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
FOXC1	True	True	direct	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract
FOXC2	True	False	impute	CHD	Malformation_of_the_outflow_tract
FOXE3	False	False	missing	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
FOXH1	False	False	missing	CHD	Malformation_of_the_outflow_tract
FOXP1	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Single_ventricle_disease;Valve_defects
FRYL	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
GANAB	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
GATA4	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect
GATA5	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
GATA6	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects
GATAD1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
GDF1	False	False	missing	CHD	Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
GET3	False	False	missing	CardiovascularDisease	DilatedCardiomyopathy
GJA1	True	True	direct	CHD	Single_ventricle_disease;Valve_defects;Ventricular_septal_defect
GLI3	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
GPBAR1	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
GPC3	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
HAAO	True	False	impute	CHD	Atrial_septal_defect;Single_ventricle_disease;Valve_defects
HAND1	True	True	direct	CHD	Single_ventricle_disease;Ventricular_septal_defect
HAND2	True	True	direct	CHD	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
HDAC8	True	False	impute	CHD	Atrial_septal_defect;Ventricular_septal_defect
HNRNPK	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
HRAS	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
INVS	True	False	impute	CHD	Valve_defects
ITSN2	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
JAG1	True	True	direct	CHD;PCGC_DeNovoVariants	Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects;Ventricular_septal_defect
JPH2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
KANSL1	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
KAT6A	True	False	impute	CHD	Atrial_septal_defect
KAT6B	True	False	impute	CHD	Atrial_septal_defect
KDM2B	True	False	impute	CHD	Atrial_septal_defect;Ventricular_septal_defect
KDM5A	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KDM5B	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KDM6A	True	False	impute	CHD	Atrial_septal_defect;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect
KDR	True	False	impute	CHD	Malformation_of_the_outflow_tract
KLHL24	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
KMT2A	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants
KMT2C	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KMT2D	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects
KRAS	True	False	impute	CHD	Atrial_septal_defect;Valve_defects;Ventricular_septal_defect
KRT13	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
KYNU	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects
