Gene	in_sc	in_sp	class	categories	traits	highlight
ACTA2	True	False	impute	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	True
ACTC1	True	False	impute	CHD;CardiovascularDisease	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy;Ventricular_septal_defect	True
ACTN2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
CHD4	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Ventricular_septal_defect	True
CHD7	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants	True
DES	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy	True
DLL4	True	False	impute	CHD	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect	True
ELN	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects	True
FBN1	True	False	impute	CHD;CardiovascularDisease;PCGC_DeNovoVariants	Familial_thoracic_aortic_aneurysm_and_aortic_dissection;PCGC_DeNovoVariants;Valve_defects	True
GATA4	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect	True
GATA6	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects	True
GJA1	True	True	direct	CHD	Single_ventricle_disease;Valve_defects;Ventricular_septal_defect	True
HAND1	True	True	direct	CHD	Single_ventricle_disease;Ventricular_septal_defect	True
HAND2	True	True	direct	CHD	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect	True
JAG1	True	True	direct	CHD;PCGC_DeNovoVariants	Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects;Ventricular_septal_defect	True
KMT2D	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects	True
MEIS2	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect	True
MYBPC3	True	False	impute	CHD;CardiovascularDisease	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
MYH11	True	True	direct	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	True
MYH6	True	True	direct	CHD;CardiovascularDisease;PCGC_DeNovoVariants	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects	True
MYH7	True	True	direct	CHD;CardiovascularDisease	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy;Valve_defects	True
MYL2	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy	True
MYL3	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy	True
NKX2-5	True	True	direct	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect	True
NOTCH1	True	True	direct	CHD;PCGC_DeNovoVariants	Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Single_ventricle_disease;Valve_defects	True
PITX2	True	True	direct	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Ventricular_septal_defect	True
PLN	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
SCN5A	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy	True
TBX1	True	False	impute	CHD	Malformation_of_the_outflow_tract;Ventricular_septal_defect	True
TBX20	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease	True
TBX5	True	True	direct	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Atrioventricular_septal_defect;PCGC_DeNovoVariants;Ventricular_septal_defect	True
TNNC1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
TNNI3	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
TNNT2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
TPM1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
TTN	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
VCL	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy	True
