,receptor,pathway,tf,tf_PPR,category,subcategory
0,NPR2,Purine metabolism,NME2,0.022436288,Metabolism,Nucleotide metabolism
1,NPR1,Purine metabolism,NME2,0.022436288,Metabolism,Nucleotide metabolism
2,GUCY2C,Purine metabolism,NME2,0.022436288,Metabolism,Nucleotide metabolism
3,NPR2,Metabolic pathways,PTEN,8.21e-06,Metabolism,Global and overview maps
4,NPR2,Metabolic pathways,DNMT1,2.91e-05,Metabolism,Global and overview maps
5,NPR2,Metabolic pathways,DNMT3A,2.91e-05,Metabolism,Global and overview maps
6,NPR2,Metabolic pathways,ENO1,0.000370871,Metabolism,Global and overview maps
7,NPR2,Metabolic pathways,PCBD1,3.78e-05,Metabolism,Global and overview maps
8,NPR2,Metabolic pathways,SIRT1,0.000922735,Metabolism,Global and overview maps
9,NPR2,Metabolic pathways,SIRT2,0.000922735,Metabolism,Global and overview maps
10,NPR2,Metabolic pathways,SIRT3,0.000922735,Metabolism,Global and overview maps
11,NPR2,Metabolic pathways,NME2,0.017860582,Metabolism,Global and overview maps
12,NPR1,Metabolic pathways,PTEN,8.21e-06,Metabolism,Global and overview maps
13,NPR1,Metabolic pathways,DNMT1,2.91e-05,Metabolism,Global and overview maps
14,NPR1,Metabolic pathways,DNMT3A,2.91e-05,Metabolism,Global and overview maps
15,NPR1,Metabolic pathways,ENO1,0.000370871,Metabolism,Global and overview maps
16,NPR1,Metabolic pathways,PCBD1,3.78e-05,Metabolism,Global and overview maps
17,NPR1,Metabolic pathways,SIRT1,0.000922735,Metabolism,Global and overview maps
18,NPR1,Metabolic pathways,SIRT2,0.000922735,Metabolism,Global and overview maps
19,NPR1,Metabolic pathways,SIRT3,0.000922735,Metabolism,Global and overview maps
20,NPR1,Metabolic pathways,NME2,0.017860582,Metabolism,Global and overview maps
21,GUCY2C,Metabolic pathways,PTEN,8.21e-06,Metabolism,Global and overview maps
22,GUCY2C,Metabolic pathways,DNMT1,2.91e-05,Metabolism,Global and overview maps
23,GUCY2C,Metabolic pathways,DNMT3A,2.91e-05,Metabolism,Global and overview maps
24,GUCY2C,Metabolic pathways,ENO1,0.000370871,Metabolism,Global and overview maps
25,GUCY2C,Metabolic pathways,PCBD1,3.78e-05,Metabolism,Global and overview maps
26,GUCY2C,Metabolic pathways,SIRT1,0.000922735,Metabolism,Global and overview maps
27,GUCY2C,Metabolic pathways,SIRT2,0.000922735,Metabolism,Global and overview maps
28,GUCY2C,Metabolic pathways,SIRT3,0.000922735,Metabolism,Global and overview maps
29,GUCY2C,Metabolic pathways,NME2,0.017860582,Metabolism,Global and overview maps
30,FGFR2,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
31,FGFR2,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
32,FGFR2,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
33,FGFR2,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
34,FGFR2,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
35,FGFR2,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
36,FGFR2,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
37,FGFR2,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
38,FGFR2,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
39,FGFR2,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
40,FGFR2,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
41,EGFR,EGFR tyrosine kinase inhibitor resistance,AKT1,0.03378324,Human Diseases,Drug resistance: antineoplastic
42,EGFR,EGFR tyrosine kinase inhibitor resistance,AKT2,0.03378324,Human Diseases,Drug resistance: antineoplastic
43,EGFR,EGFR tyrosine kinase inhibitor resistance,AKT3,0.03378324,Human Diseases,Drug resistance: antineoplastic
44,EGFR,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.011694259,Human Diseases,Drug resistance: antineoplastic
45,EGFR,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.046135966,Human Diseases,Drug resistance: antineoplastic
46,EGFR,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.046135966,Human Diseases,Drug resistance: antineoplastic
47,EGFR,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.035125776,Human Diseases,Drug resistance: antineoplastic
48,EGFR,EGFR tyrosine kinase inhibitor resistance,SOS1,0.031979251,Human Diseases,Drug resistance: antineoplastic
49,EGFR,EGFR tyrosine kinase inhibitor resistance,SOS2,0.031979251,Human Diseases,Drug resistance: antineoplastic
50,EGFR,EGFR tyrosine kinase inhibitor resistance,SRC,0.038827571,Human Diseases,Drug resistance: antineoplastic
51,EGFR,EGFR tyrosine kinase inhibitor resistance,STAT3,0.035125776,Human Diseases,Drug resistance: antineoplastic
52,PDGFRB,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
53,PDGFRB,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
54,PDGFRB,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
55,PDGFRB,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
56,PDGFRB,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
57,PDGFRB,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
58,PDGFRB,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
59,PDGFRB,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
60,PDGFRB,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
61,PDGFRB,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
62,PDGFRB,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
63,MET,EGFR tyrosine kinase inhibitor resistance,AKT1,0.03378324,Human Diseases,Drug resistance: antineoplastic
64,MET,EGFR tyrosine kinase inhibitor resistance,AKT2,0.03378324,Human Diseases,Drug resistance: antineoplastic
65,MET,EGFR tyrosine kinase inhibitor resistance,AKT3,0.03378324,Human Diseases,Drug resistance: antineoplastic
66,MET,EGFR tyrosine kinase inhibitor resistance,EGFR,0.018683816,Human Diseases,Drug resistance: antineoplastic
67,MET,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.011694259,Human Diseases,Drug resistance: antineoplastic
68,MET,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.046135966,Human Diseases,Drug resistance: antineoplastic
69,MET,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.046135966,Human Diseases,Drug resistance: antineoplastic
70,MET,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.035125776,Human Diseases,Drug resistance: antineoplastic
71,MET,EGFR tyrosine kinase inhibitor resistance,SOS1,0.031979251,Human Diseases,Drug resistance: antineoplastic
72,MET,EGFR tyrosine kinase inhibitor resistance,SOS2,0.031979251,Human Diseases,Drug resistance: antineoplastic
73,MET,EGFR tyrosine kinase inhibitor resistance,SRC,0.038827571,Human Diseases,Drug resistance: antineoplastic
74,MET,EGFR tyrosine kinase inhibitor resistance,STAT3,0.035125776,Human Diseases,Drug resistance: antineoplastic
75,ERBB3,EGFR tyrosine kinase inhibitor resistance,AKT1,0.031249497,Human Diseases,Drug resistance: antineoplastic
76,ERBB3,EGFR tyrosine kinase inhibitor resistance,AKT2,0.031249497,Human Diseases,Drug resistance: antineoplastic
