Trait	n_genes	Genes
Atrial_septal_defect	93	ABL1;ACTC1;ACVR1;ACVR2B;ANKRD11;ARID1A;ARID1B;B3GAT3;BCOR;BMPR2;BRAF;CDK13;CHD4;CHD7;CHST14;CITED2;CREBBP;DNAH11;EFTUD2;ELN;EVC;EVC2;FGFR2;FLNA;FOXC1;FOXP1;GATA4;GATA5;GATA6;GLI3;GPC3;HAAO;HDAC8;HNRNPK;HRAS;KANSL1;KAT6A;KAT6B;KDM2B;KDM6A;KMT2A;KMT2D;KRAS;KYNU;LZTR1;MAP2K1;MAP2K2;MED12;MEIS2;MYBPC3;MYH6;MYH7;NF1;NIPBL;NKX2-5;NODAL;NONO;NOTCH2;NPHP3;NR2F2;NSD1;PBX1;PIGV;PTPN11;RAB23;RAF1;RERE;RIT1;SALL1;SETD5;SHOC2;SMAD2;SMAD4;SMARCA4;SMARCB1;SMARCE1;SMC1A;SMC3;SON;SOS1;STRA6;TAB2;TBX20;TBX5;TGFBR1;TGFBR2;THOC6;TLL1;TRAF7;TXNL4A;UBR1;WASHC5;ZEB2
Valve_defects	82	ACVR2B;ADAMTS10;ANKRD11;ARID1A;B3GAT3;BCOR;BRAF;CDK13;CREBBP;DLL4;DNAH11;EHMT1;ELN;ESCO2;EVC;EVC2;FBN1;FGFR2;FOXP1;GATA4;GATA5;GATA6;GDF1;GJA1;GLI3;GPC3;HAAO;HAND2;HNRNPK;HRAS;INVS;JAG1;KANSL1;KDM6A;KMT2D;KRAS;KYNU;LTBP2;LZTR1;MAP2K1;MAP2K2;MAP3K7;MED12;MEIS2;MYH6;MYH7;NF1;NKX2-5;NODAL;NONO;NOTCH1;NOTCH2;NPHP3;NRAS;NSD1;NUP188;PBX1;PIGL;PKD1L1;PRKD1;PTPN11;RAF1;RIT1;SALL1;SETD5;SHOC2;SMAD2;SMAD3;SMAD4;SMAD6;SMARCA4;SMARCB1;SMARCE1;SMC1A;SMC3;SMG9;SOS1;TAB2;TGFBR2;TMEM260;TRAF7;ZEB2
Malformation_of_the_outflow_tract	64	ACVR1;ACVR2B;ARID1A;BCOR;BMPR2;CFC1;CHD4;CHST14;CREBBP;DLL4;DNAH11;EVC;EVC2;FGFR2;FLNA;FLT4;FOXC1;FOXC2;GATA4;GATA5;GATA6;GDF1;GLI3;HAND2;HNRNPK;JAG1;KDR;KMT2D;KYNU;LTBP2;MED13L;MEIS2;MESP1;MYH6;NF1;NKX2-5;NKX2-6;NODAL;NOTCH1;NOTCH2;NPHP4;PBX1;PIGL;PKD1L1;PRKD1;RAB23;RAD21;RAF1;SALL1;SALL4;SF3B4;SMAD2;SMAD4;SMAD6;SMC3;STRA6;TAB2;TBX1;TBX20;TFAP2B;TMEM260;UBR1;ZEB2;ZFPM2
PCGC_DeNovoVariants	62	ACTB;AHNAK;AKAP12;ANK3;BRAF;CACNA1A;CAD;CDK13;CHD4;CHD7;CLUH;CTNNB1;DGUOK;DSCAML1;DTNA;ELN;FBN1;FBN3;FLT4;FRYL;GANAB;GATA6;GPBAR1;ITSN2;JAG1;KDM5A;KDM5B;KMT2A;KMT2C;KMT2D;LRP1;LZTR1;MINK1;MYH6;MYRF;NAA15;NALCN;NGFR;NOTCH1;NR6A1;NSD1;NSD2;POGZ;PPL;PRRC2B;PTEN;PTPN11;PYGL;RABGAP1L;RAF1;RBFOX2;RIT1;RPL5;RYR3;SAMD11;SMAD2;SOS1;TBX5;TSC1;U2SURP;WASHC5;ZEB2
DilatedCardiomyopathy	46	ACTC1;ACTN2;ANKRD1;BAG3;BAG5;CAP2;CRYAB;CSRP3;DES;DSG2;DSP;EYA4;FKTN;FLII;GATAD1;JPH2;LAMA4;LDB3;LMNA;LMOD2;MYBPC3;MYH6;MYH7;MYPN;NEXN;PLN;PPCS;PSEN1;PSEN2;RAF1;RBM20;RNF220;RPL3L;RRAGD;SCN5A;SDHA;SGCD;TCAP;TMPO;TNNC1;TNNI3;TNNT2;TPM1;TTN;VCL;VEZF1
Ventricular_septal_defect	40	ABL1;ACTC1;ACVR2B;ADAMTS10;ANKRD11;ARID1A;CDK13;CHD4;CITED2;DLL4;ESCO2;EVC;EVC2;GATA4;GDF1;GJA1;GLI3;HAND1;HAND2;HDAC8;JAG1;KDM2B;KDM6A;KRAS;MEIS2;MESP1;NF1;NIPBL;NKX2-5;NKX2-6;PIGL;PKD1L1;SALL1;SHOC2;SMARCB1;SMC1A;SOS1;TBX1;TBX5;TMEM260
HypertrophicCardiomyopathy	31	ACTC1;ACTN2;ALPK3;CAV3;COQ9;CORIN;CSRP3;FHOD3;FLNC;FNIP1;JPH2;KLHL24;MRPL44;MTO1;MYBPC3;MYH6;MYH7;MYL2;MYL3;MYLK2;MYOZ2;NEXN;PLN;PRKAG2;TCAP;TNNC1;TNNI3;TNNT2;TPM1;TTN;VCL
Atrioventricular_septal_defect	26	ACVR1;ACVR2B;ANKRD11;ARID1B;BMPR2;CFC1;CRELD1;DNAH11;EVC;EVC2;FLNA;FOXP1;GATA4;GATA6;GDF1;GLI3;NKX2-5;NODAL;NPHP4;NR2F2;PRKACB;PRKD1;SETD5;SF3B4;SMAD2;TBX5
Single_ventricle_disease	21	DNAH11;FGFR2;FLNA;FOXP1;GATA4;GJA1;HAAO;HAND1;KDM6A;KYNU;MEIS2;NKX2-5;NODAL;NOTCH1;PKD1L1;RBFOX2;SMAD3;SMARCA4;STRA6;TBX20;TRAF7
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	11	ACTA2;FBN1;LOX;MFAP5;MYH11;MYLK;PRKG1;SMAD3;TGFBR1;TGFBR2;THSD4
