	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
ATR_000_set19__104	-0.4764	-0.4657	-0.5638	-0.3887	-0.8234	-0.3554	0.1114	-0.9112	-0.3239	-0.4110
ATR_000_set19__114	-0.2852	-0.2126	0.0903	-0.4680	0.1144	-0.2670	-0.3314	-0.2857	-0.3490	-0.2445
ATR_000_set19__157	-0.1521	0.2139	-0.6867	-0.1574	-0.7452	0.0435	0.0666	-0.0472	-0.0763	-0.0062
ATR_000_set19__178	0.0389	0.2908	-0.4211	0.4922	-0.6779	0.1771	-0.1653	-0.2251	0.0644	0.2789
ATR_000_set19__181	0.3938	0.4232	0.5889	-0.0569	0.3911	0.4390	0.3604	0.4776	0.3331	0.4378
ATR_000_set19__184	0.5283	0.5569	-0.3231	0.5202	-0.4723	0.4844	0.4454	0.4415	0.6141	0.4517
ATR_000_set19__221	0.4155	0.5259	0.3949	0.3312	0.4924	0.5074	0.4010	0.2738	0.4670	0.5395
ATR_000_set19__35	0.3347	0.3822	-0.4985	0.2024	-0.6173	0.3610	0.3149	0.2078	0.3937	0.2041
ATR_000_set19__69	0.1442	0.2013	0.4310	-0.0768	0.4256	0.1068	0.0968	0.1191	0.0813	0.0905
ATR_000_set19__99	-0.2552	-0.5145	-0.4873	-0.0885	-0.5669	-0.3089	-0.2165	-0.3058	-0.2918	-0.3107
ATR_001_set15__101	-0.2071	-0.2649	-0.4952	0.1271	-0.5588	-0.1006	-0.0492	-0.3311	-0.1446	-0.2598
ATR_001_set15__173	-0.3299	-0.2619	-0.6813	0.0149	-0.6806	-0.1843	-0.3142	-0.3213	-0.2073	-0.2449
ATR_001_set15__174	-0.4081	-0.3937	-0.6458	-0.1193	-0.7144	-0.3244	-0.3060	-0.4594	-0.3710	-0.2915
ATR_001_set15__201	-0.3203	-0.4273	-0.5163	0.4609	-0.7392	-0.2376	-0.2633	-0.3889	-0.2486	-0.2957
ATR_001_set15__211	-0.0926	-0.1159	-0.3031	0.2031	-0.6762	0.1588	0.1708	0.0011	0.0108	0.0379
ATR_001_set15__226	-0.1805	0.0034	-0.7714	0.8403	-0.5722	0.0245	-0.2213	-0.1712	-0.0485	0.1091
ATR_001_set15__240	0.1023	0.1063	-0.2141	0.6416	-0.4533	0.1282	-0.0277	-0.0243	0.1326	0.2292
ATR_001_set15__282	-0.1566	-0.2471	-0.4569	0.2661	-0.6572	-0.1142	0.0880	-0.0084	0.0859	-0.0792
ATR_001_set15__326	-0.1317	0.0219	-0.6343	0.4257	-0.7073	-0.1919	-0.1634	-0.0223	-0.0437	-0.0907
ATR_001_set15__355	-0.4182	-0.3619	-0.6907	-0.1136	-0.8032	-0.2917	-0.3080	-0.4090	-0.3435	-0.4570
ATR_001_set15__382	-0.4747	-0.4961	-0.8853	-0.2131	-0.7904	-0.3554	-0.3859	-0.5454	-0.4437	-0.4117
ATR_001_set15__84	-0.2420	-0.1482	-0.6075	0.0840	-0.6575	-0.1650	-0.2116	-0.2388	-0.2002	-0.0916
