gene	pearson_r	atac_mean	atac_frac_pos	rna_mean	rna_frac_pos
RBM20	0.8678	2.5154	1.0000	1.5266	1.0000
FHOD3	0.8528	1.9463	1.0000	1.5912	1.0000
LDB3	0.8147	2.8977	1.0000	1.1507	1.0000
CORIN	0.8093	1.4388	1.0000	0.8398	1.0000
MYBPC3	0.8064	1.4010	1.0000	0.7372	1.0000
CSRP3	0.7901	1.2959	1.0000	1.2758	1.0000
JPH2	0.7815	1.8922	1.0000	0.3537	1.0000
CAP2	0.7668	1.7850	1.0000	0.7574	1.0000
MYL2	0.7654	1.1895	1.0000	1.8639	1.0000
ACTN2	0.7530	1.5086	1.0000	1.2144	1.0000
THSD4	0.7510	1.1774	1.0000	1.0925	1.0000
TNNT2	0.7457	2.4718	1.0000	1.8371	1.0000
ACTC1	0.7339	1.6284	1.0000	2.3220	1.0000
ANKRD1	0.7066	1.5084	1.0000	0.6920	1.0000
FBN1	0.7007	1.1624	1.0000	0.6613	1.0000
TBX20	0.6979	2.7227	1.0000	1.6502	1.0000
ELN	0.6673	1.5758	1.0000	0.3116	1.0000
PRKG1	0.6210	1.4746	1.0000	1.4799	1.0000
SALL1	0.6039	0.5355	1.0000	0.0178	1.0000
PRKAG2	0.6000	3.0700	1.0000	0.5077	1.0000
ALPK3	0.5738	2.5275	1.0000	0.3948	1.0000
DSP	0.5735	1.2288	1.0000	0.7501	1.0000
TCAP	0.5689	1.9888	1.0000	0.2341	1.0000
MYOZ2	0.5577	1.0268	1.0000	0.6847	1.0000
RYR3	0.5576	0.4719	1.0000	0.1355	1.0000
MYPN	0.5491	0.6600	1.0000	0.1549	1.0000
TPM1	0.5454	2.4467	1.0000	2.4384	1.0000
MYL3	0.5240	2.9564	1.0000	1.3111	1.0000
LMOD2	0.5212	1.5796	1.0000	0.4492	1.0000
SGCD	0.5191	1.2442	1.0000	0.8045	1.0000
GATA4	0.5115	3.4426	1.0000	0.9239	1.0000
KDR	0.5071	1.7229	1.0000	0.1148	1.0000
LRP1	0.5057	2.1262	1.0000	0.1685	1.0000
GPC3	0.5008	0.7473	1.0000	0.3255	1.0000
RRAGD	0.4821	1.0647	1.0000	0.2166	1.0000
MEIS2	0.4781	2.3881	1.0000	1.6167	1.0000
TNNC1	0.4591	1.9880	1.0000	1.6601	1.0000
DLL4	0.4570	1.1849	1.0000	0.0106	1.0000
TNNI3	0.4537	1.7719	1.0000	0.8117	1.0000
AKAP12	0.4329	2.7486	1.0000	0.3556	1.0000
LTBP2	0.4299	1.4880	1.0000	0.0561	1.0000
MED13L	0.4169	1.9787	1.0000	1.4073	1.0000
FGFR2	0.4084	1.1517	1.0000	0.1401	1.0000
ANK3	0.4069	0.4833	1.0000	1.3400	1.0000
LOX	0.4028	0.6814	1.0000	0.1119	1.0000
SAMD11	0.3974	1.5408	1.0000	0.0235	1.0000
ADAMTS10	0.3966	1.9877	1.0000	0.0430	1.0000
LAMA4	0.3908	2.0096	1.0000	0.7885	1.0000
CHD7	0.3707	2.2234	1.0000	0.5768	1.0000
DNAH11	0.3599	1.7691	1.0000	0.2345	1.0000
RNF220	0.3570	2.1690	1.0000	0.1483	1.0000
GLI3	0.3559	1.7509	1.0000	0.4863	1.0000
HAAO	0.3473	2.7330	1.0000	0.0406	1.0000
EYA4	0.3447	1.0337	1.0000	0.1070	1.0000
DSG2	0.3406	0.7442	1.0000	0.1883	1.0000
CTNNB1	0.3369	1.5022	1.0000	0.8304	1.0000
GATA6	0.3336	3.0003	1.0000	0.8400	1.0000
KLHL24	0.3294	1.4068	1.0000	0.5726	1.0000
PBX1	0.3266	1.9547	1.0000	1.8782	1.0000
CAV3	0.3114	1.7078	1.0000	0.1085	1.0000
FOXP1	0.3075	2.7024	1.0000	0.4747	1.0000
PYGL	0.3037	1.2707	1.0000	0.1007	1.0000
CRYAB	0.2948	2.1433	1.0000	1.3547	1.0000
SMC3	0.2935	1.8156	1.0000	0.5076	1.0000
DTNA	0.2930	0.2926	1.0000	0.7078	1.0000
ZFPM2	0.2799	1.3084	1.0000	1.9785	1.0000
NGFR	0.2771	1.1894	1.0000	0.0116	1.0000
SETD5	0.2679	1.9513	1.0000	0.8098	1.0000
CACNA1A	0.2584	2.4825	1.0000	0.0314	1.0000
SDHA	0.2583	0.9720	1.0000	0.4895	1.0000
FLT4	0.2557	1.2504	1.0000	0.0073	1.0000
