Trait	n_genes	pearson_r	atac_mean_z	rna_mean_z
HypertrophicCardiomyopathy	27	0.7926	0.0000	0.0000
DilatedCardiomyopathy	40	0.7246	-0.0000	0.0000
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	9	0.4179	0.0000	0.0000
Valve_defects	74	0.4051	0.0000	0.0000
Malformation_of_the_outflow_tract	57	0.3795	-0.0000	0.0000
Atrial_septal_defect	87	0.3775	0.0000	0.0000
Atrioventricular_septal_defect	22	0.3638	0.0000	0.0000
Single_ventricle_disease	17	0.3626	-0.0000	0.0000
PCGC_DeNovoVariants	57	0.3565	0.0000	0.0000
Ventricular_septal_defect	33	0.3365	0.0000	0.0000
