gene	primed_frac	expr_only_frac	asymmetry	in_panel	module
ABL1	0.0547	0.0619	-0.0073	False	
ACTA2	0.0818	0.0523	0.0295	True	Aortic / smooth muscle
ACTB	0.0510	0.0642	-0.0132	False	
ACTC1	0.0174	0.0264	-0.0090	True	Sarcomere / CM structural
ACTN2	0.0099	0.0211	-0.0112	True	Sarcomere / CM structural
ACVR1	0.0540	0.0417	0.0123	False	
ACVR2B	0.0537	0.0413	0.0123	False	
ADAMTS10	0.0586	0.0182	0.0405	False	
AHNAK	0.0573	0.0695	-0.0122	False	
AKAP12	0.0426	0.0324	0.0101	False	
ALPK3	0.0211	0.0261	-0.0051	False	
ANK3	0.0375	0.0242	0.0133	False	
ANKRD1	0.0171	0.0132	0.0040	False	
ANKRD11	0.0515	0.0698	-0.0183	False	
ARID1A	0.0656	0.0629	0.0028	False	
ARID1B	0.0385	0.0584	-0.0199	False	
B3GAT3	0.0650	0.0408	0.0242	False	
BAG3	0.0530	0.0488	0.0042	False	
BAG5	0.0806	0.0410	0.0397	False	
BCOR	0.0667	0.0428	0.0238	False	
BMPR2	0.0442	0.0547	-0.0105	False	
BRAF	0.0472	0.0742	-0.0270	False	
CACNA1A	0.0971	0.0148	0.0823	False	
CAD	0.1040	0.0505	0.0535	False	
CAP2	0.0134	0.0136	-0.0002	False	
CAV3	0.0448	0.0306	0.0142	False	
CDK13	0.0491	0.0729	-0.0238	False	
CFC1	0.0000	0.0000	0.0000	False	
CHD4	0.0906	0.0743	0.0163	True	Chromatin (PCGC)
CHD7	0.0364	0.0396	-0.0032	True	Chromatin (PCGC)
CHST14	0.0844	0.0391	0.0452	False	
CITED2	0.0614	0.0542	0.0071	False	
CLUH	0.0942	0.0426	0.0516	False	
COQ9	0.0867	0.0665	0.0202	False	
CORIN	0.0136	0.0061	0.0075	False	
CREBBP	0.0539	0.0699	-0.0160	False	
CRELD1	0.0752	0.0302	0.0450	False	
CRYAB	0.0499	0.0642	-0.0143	False	
CSRP3	0.0168	0.0165	0.0003	False	
CTNNB1	0.0328	0.0467	-0.0139	False	
DGUOK	0.0668	0.0517	0.0151	False	
DLL4	0.0586	0.0030	0.0556	True	Notch / valve
DNAH11	0.0570	0.0270	0.0301	False	
DSCAML1	0.0613	0.0461	0.0152	False	
DSG2	0.0366	0.0462	-0.0095	False	
DSP	0.0324	0.0538	-0.0214	False	
DTNA	0.0405	0.0444	-0.0039	False	
EFTUD2	0.0577	0.0480	0.0097	False	
EHMT1	0.0562	0.0630	-0.0068	False	
ELN	0.0329	0.0066	0.0263	True	Aortic / smooth muscle
ESCO2	0.0643	0.0611	0.0032	False	
EVC	0.0535	0.0350	0.0185	False	
EVC2	0.0487	0.0377	0.0110	False	
EYA4	0.0482	0.0220	0.0262	False	
FBN1	0.0234	0.0210	0.0024	True	Aortic / smooth muscle
FBN3	0.0645	0.0316	0.0329	False	
FGFR2	0.0533	0.0241	0.0292	False	
FHOD3	0.0075	0.0048	0.0026	False	
FKTN	0.0575	0.0571	0.0004	False	
FLII	0.0650	0.0565	0.0086	False	
FLNA	0.0650	0.0481	0.0169	False	
FLNC	0.0621	0.0527	0.0095	False	
FLT4	0.0971	0.0034	0.0937	False	
FNIP1	0.0687	0.0461	0.0227	False	
FOXC2	0.0757	0.0080	0.0677	False	
FOXP1	0.0407	0.0358	0.0049	False	
FRYL	0.0466	0.0606	-0.0139	False	
GANAB	0.0566	0.0563	0.0002	False	
GATA4	0.0185	0.0346	-0.0161	True	Cardiac TF (CHD)
GATA5	0.0677	0.0181	0.0496	False	
GATA6	0.0338	0.0565	-0.0227	True	Cardiac TF (CHD)
GATAD1	0.0588	0.0535	0.0052	False	
GLI3	0.0426	0.0505	-0.0079	False	
GPBAR1	0.0863	0.0035	0.0828	False	
GPC3	0.0372	0.0293	0.0079	False	
HAAO	0.0861	0.0142	0.0719	False	
HDAC8	0.0575	0.0521	0.0054	False	
HNRNPK	0.0791	0.1002	-0.0210	False	
HRAS	0.0885	0.0326	0.0559	False	
INVS	0.0483	0.0857	-0.0374	False	
ITSN2	0.0573	0.0401	0.0172	False	
JPH2	0.0158	0.0124	0.0034	False	
KANSL1	0.0452	0.0712	-0.0260	False	
KAT6A	0.0535	0.0591	-0.0056	False	
KAT6B	0.0619	0.0583	0.0036	False	
KDM2B	0.0641	0.0407	0.0234	False	
KDM5A	0.0655	0.0726	-0.0071	False	
KDM5B	0.0595	0.0781	-0.0186	False	
KDM6A	0.0493	0.0883	-0.0390	False	
KDR	0.0835	0.0079	0.0756	False	
KLHL24	0.0439	0.0402	0.0037	False	
KMT2A	0.0585	0.0590	-0.0006	False	
KMT2C	0.0458	0.0775	-0.0317	False	
KMT2D	0.0707	0.0421	0.0287	True	Chromatin (PCGC)
KRAS	0.0662	0.0527	0.0135	False	
KYNU	0.0530	0.0093	0.0436	False	
LAMA4	0.0401	0.0456	-0.0055	False	
LDB3	0.0077	0.0033	0.0044	False	
LMNA	0.0644	0.0637	0.0007	False	
LMOD2	0.0340	0.0362	-0.0022	False	
LOX	0.0378	0.0297	0.0080	False	
LRP1	0.0432	0.0201	0.0231	False	
LTBP2	0.0726	0.0097	0.0629	False	
LZTR1	0.0732	0.0328	0.0403	False	
