gene	atac_centroid_x	atac_centroid_y	atac_centroid_z	atac_rg	atac_n_top	rna_centroid_x	rna_centroid_y	rna_centroid_z	rna_rg	rna_n_top	centroid_shift	delta_rg	in_panel	module
ABL1	17029.0552	18980.2830	-3805.8600	2454.1069	10000	16977.7989	19132.3879	-3363.9150	2524.4755	10000	470.1899	-70.3686	False	
ACTA2	16989.8952	19110.8782	-3394.9500	2499.0649	10000	16904.8676	19389.9602	-2264.8950	2406.0741	10000	1167.1078	92.9908	True	Aortic / smooth muscle
ACTB	17021.8624	19103.9080	-3635.7750	2486.0917	10000	16999.9794	19031.3428	-4050.0150	2305.2576	10000	421.1168	180.8341	False	
ACTC1	17161.3554	18427.4939	-4331.2500	2373.8662	10000	17069.8786	19164.8503	-4350.2250	2103.8651	10000	743.2512	270.0012	True	Sarcomere / CM structural
ACTN2	17130.8785	18574.0527	-4358.4600	2372.5221	10000	17082.1922	19228.9626	-4683.1500	1931.1804	10000	732.5988	441.3417	True	Sarcomere / CM structural
ACVR1	17008.5234	19084.9404	-3494.3100	2503.3240	10000	16909.4707	19311.9766	-3009.0450	2539.0557	10000	544.8293	-35.7317	False	
ACVR2B	17119.8757	18675.5831	-3967.8150	2474.4701	10000	17072.8421	19004.6380	-3714.8250	2464.0408	10000	417.7238	10.4293	False	
ADAMTS10	16954.1595	19189.2696	-3409.5300	2483.1087	10000	16882.7528	19300.3322	-2927.6250	2530.8666	10000	499.6661	-47.7579	False	
AHNAK	17038.1558	18927.7437	-3702.7800	2465.6242	10000	17027.5967	19025.7335	-4075.4700	2222.3241	10000	385.5014	243.3001	False	
AKAP12	16980.7295	19075.9494	-3675.5550	2521.1371	10000	16925.9454	19240.4305	-3184.8900	2608.9443	10000	520.3916	-87.8073	False	
ALPK3	17168.7732	18554.6037	-4410.3900	2328.3737	10000	17113.4546	19001.3931	-4366.0350	2286.7542	10000	452.3807	41.6195	False	
ANK3	17054.7346	18910.6417	-3855.2100	2352.9583	10000	17018.8468	18800.6010	-4669.1400	2448.2823	10000	822.1186	-95.3239	False	
ANKRD1	17075.4791	18929.8933	-3916.4850	2556.6309	10000	16919.3898	19671.1644	-3397.4850	2514.7897	10000	918.2634	41.8413	False	
ANKRD11	17033.9001	19010.5787	-3705.8250	2508.9216	10000	17014.2723	19109.6496	-3496.9650	2485.3676	10000	231.9974	23.5540	False	
ARID1A	17016.5546	18980.1415	-3738.9450	2508.9168	10000	17059.1928	19066.8764	-3637.9050	2427.5302	10000	139.8215	81.3866	False	
ARID1B	17059.5371	18960.5981	-3779.8950	2452.1526	10000	16917.5222	19260.2137	-3127.0800	2609.3622	10000	732.1920	-157.2096	False	
B3GAT3	17013.2339	19039.7885	-3501.4200	2509.9107	10000	17003.7993	19145.6099	-3446.3400	2477.3185	10000	119.6703	32.5922	False	
BAG3	17072.5662	18804.2102	-4095.2550	2455.3050	10000	17137.0080	18960.5262	-3958.6650	2228.0023	10000	217.3575	227.3027	False	
BAG5	17013.2598	19146.1056	-3542.4900	2437.3996	10000	17041.4463	19028.7536	-3972.8850	2337.9480	10000	446.9965	99.4517	False	
BCOR	17037.1553	19002.6212	-3630.5400	2467.2081	10000	17093.3214	19037.3550	-3594.5400	2420.7797	10000	75.2135	46.4285	False	
BMPR2	17001.9224	19016.1887	-3724.7400	2427.2657	10000	16934.8545	19127.0243	-3520.0500	2489.6515	10000	242.2408	-62.3858	False	
BRAF	17029.6179	18946.2304	-3836.2500	2398.3668	10000	16989.5007	19120.8425	-3546.3600	2534.8762	10000	340.7858	-136.5094	False	
CACNA1A	16993.4305	19058.0888	-3751.7400	2461.4186	10000	17034.3417	19038.8936	-3790.5150	2498.3087	10000	59.5457	-36.8901	False	
CAD	17129.1822	18868.2253	-4057.0800	2446.4883	10000	16973.0221	19142.6540	-3371.3550	2526.2241	10000	754.9277	-79.7358	False	
CAP2	17116.3010	18602.4149	-4406.3250	2386.5774	10000	16993.1190	19222.5879	-4426.6650	2249.0065	10000	632.6153	137.5710	False	
CAV3	17101.8391	18664.5641	-4197.4500	2347.8160	10000	17140.6379	18440.7018	-4370.0700	2212.5321	10000	285.3372	135.2839	False	
CDK13	17051.4447	19032.2148	-3486.0750	2508.7831	10000	16969.9771	19269.5267	-3159.5850	2557.8075	10000	411.7640	-49.0244	False	
CFC1	16948.3422	19355.7090	-2943.2250	2534.4409	10000					0			False	
CHD4	16977.4797	19107.6789	-3545.6850	2504.6100	10000	17092.8137	18916.6865	-4068.6900	2179.5319	10000	568.6073	325.0781	True	Chromatin (PCGC)
CHD7	17071.3879	18890.5545	-3835.0200	2478.3679	10000	17015.2610	19096.7390	-3662.8200	2504.1702	10000	274.4360	-25.8022	True	Chromatin (PCGC)
CHST14	17045.5621	18825.4138	-3952.5750	2425.7374	10000	17032.1718	19010.1988	-3738.2550	2403.1445	10000	283.2982	22.5929	False	
CITED2	17059.8269	18824.3404	-3880.0050	2420.8359	10000	17166.9771	18812.0100	-4274.5350	2185.0941	10000	409.0075	235.7418	False	
CLUH	17023.6605	18979.4372	-3678.1350	2461.4213	10000	17105.5806	18878.2254	-4136.0850	2275.0348	10000	476.1018	186.3866	False	
COQ9	17015.3134	19033.4374	-3570.2400	2495.6165	10000	17174.4038	18848.2239	-4185.1350	2237.9766	10000	661.5963	257.6399	False	
CORIN	17123.5493	18702.1669	-3758.3400	2547.7004	10000	16829.9456	18983.3725	-2938.8300	2745.2715	10000	914.8095	-197.5711	False	
CREBBP	17030.4466	19073.8486	-3731.0100	2480.8290	10000	16981.0571	19161.5271	-3328.7550	2532.7145	10000	414.6516	-51.8855	False	
CRELD1	17018.7805	18963.5521	-3713.2800	2446.6208	10000	17011.1124	18961.4923	-3667.6650	2467.4827	10000	46.3009	-20.8619	False	
CRYAB	17083.3778	18820.7602	-3894.0150	2500.2048	10000	17144.6961	19142.2237	-4796.5500	1926.1804	10000	960.0355	574.0244	False	
CSRP3	17020.7335	18921.2930	-3611.4000	2572.9373	10000	17139.7086	19061.6382	-4417.9350	2206.9278	10000	827.2548	366.0095	False	
CTNNB1	17099.0315	18625.4864	-4201.3200	2357.0679	10000	17068.7694	18837.8270	-4151.0850	2292.3013	10000	220.2904	64.7666	False	
DGUOK	17008.0932	19100.5620	-3554.9100	2483.2398	10000	17023.8685	19071.6622	-3532.0050	2435.3514	10000	40.1086	47.8883	False	
DLL4	16968.2707	19029.4775	-3830.6100	2459.8991	10000	16940.9932	19125.3571	-3751.1100	2490.4495	10000	127.5038	-30.5503	True	Notch / valve
DNAH11	17031.3725	18950.4808	-3551.6250	2536.9425	10000	17035.5241	18414.2624	-4396.8300	2451.6921	10000	1000.9590	85.2504	False	
DSCAML1	17032.4246	18971.1409	-3770.8500	2491.7505	10000	16949.6440	19127.2108	-3522.2250	2543.8235	10000	304.9997	-52.0730	False	
DSG2	17186.5817	18784.5676	-4144.4100	2406.0972	10000	17095.2448	18947.4300	-4069.5150	2250.9082	10000	201.1861	155.1890	False	
DSP	17154.0370	18543.4833	-4277.7900	2413.6046	10000	17120.7067	19018.3709	-4360.0950	2061.7907	10000	483.1183	351.8139	False	
DTNA	17024.8169	19007.6050	-3650.1900	2437.9396	10000	17019.4563	18709.1786	-4002.6600	2543.3253	10000	461.8682	-105.3857	False	
EFTUD2	17037.1532	18963.7250	-3842.8800	2405.8094	10000	17004.6722	19019.3037	-3716.9400	2456.2623	10000	141.4387	-50.4529	False	
EHMT1	17027.4289	19025.8444	-3681.9750	2474.7215	10000	16991.1948	19167.0376	-3410.4300	2507.8534	10000	308.1965	-33.1319	False	
ELN	16909.8202	19247.8185	-3133.7250	2463.8564	10000	16788.3495	19459.5834	-2508.1500	2401.8428	10000	671.5233	62.0136	True	Aortic / smooth muscle
ESCO2	17024.2487	19032.9061	-3661.5300	2471.9548	10000	17035.0031	18823.3437	-4237.7400	2262.6606	10000	613.2291	209.2942	False	
