gene	peak_celltype	lineage	source	peak_mean
ABCC9	Pericyte	Mural	direct	1.1176
ABL1	WBC	Immune	imputed	0.7373
ACTA2	aCM-LA	aCM	imputed	0.9798
ACTB	BEC	Endothelial	imputed	1.6299
ACTC1	vCM-RV-Compact	vCM	imputed	3.7152
ACTN2	vCM-RV-Compact	vCM	imputed	2.1958
ACVR1	VEC	Endothelial	imputed	0.7412
ACVR2B	ncCM-IFT-like	ncCM	imputed	0.1857
ADAMTS10	adFibro	Fibroblast	imputed	0.1399
AHNAK	vCM-RV-Proliferating	vCM	imputed	1.0198
AKAP12	adFibro	Fibroblast	imputed	1.3674
ALPK3	vCM-RV-Compact	vCM	imputed	0.6687
ANK3	vCM-LV-Hybrid	vCM	imputed	1.8118
ANKRD1	aCM-RA	aCM	imputed	1.3246
ANKRD11	BEC	Endothelial	imputed	0.9791
ARID1A	vCM-RV-Proliferating	vCM	imputed	0.8097
ARID1B	VSMC	Mural	imputed	1.8195
B3GAT3	VEC	Endothelial	imputed	0.0936
BAG3	vCM-RV-Proliferating	vCM	imputed	0.3070
BAG5	vCM-RV-Hybrid	vCM	imputed	0.1206
BCOR	ncCM-AVC-like	ncCM	imputed	0.3724
BMPR2	aEndocardial	Endothelial	imputed	1.3784
BRAF	BEC	Endothelial	imputed	0.9535
CACNA1A	Compact vFibro	Fibroblast	imputed	0.1162
CAD	LEC	Endothelial	imputed	0.0765
CAP2	vCM-RV-Compact	vCM	imputed	1.2758
CAV3	vCM-LV-Trabecular II	vCM	imputed	0.1854
CDK13	aEndocardial	Endothelial	imputed	0.9161
CFC1	BEC	Endothelial	imputed	0.0000
CHD4	vCM-LV-Compact II	vCM	imputed	0.3469
CHD7	BEC	Endothelial	imputed	1.0412
CHST14	Compact vFibro	Fibroblast	imputed	0.0685
CITED2	vCM-RV-Compact	vCM	imputed	0.2911
CLUH	vCM-RV-Hybrid	vCM	imputed	0.0863
COQ9	vCM-RV-Compact	vCM	imputed	0.2628
CORIN	aCM-LA	aCM	imputed	1.7831
CREBBP	ncCM-AVC-like	ncCM	imputed	0.7806
CRELD1	aEndocardial	Endothelial	imputed	0.1197
CRYAB	vCM-RV-Compact	vCM	imputed	2.5667
CSRP3	vCM-RV-Compact	vCM	imputed	2.3427
CTNNB1	BEC	Endothelial	imputed	1.1371
CYP21A2	LEC	Endothelial	imputed	0.0125
DES	vCM-RV-Hybrid	vCM	direct	3.0149
DGUOK	vCM-LV-AV	vCM	imputed	0.2307
DLL4	BEC	Endothelial	imputed	0.1177
DMD	vCM-LV-Hybrid	vCM	imputed	2.9664
DNAH11	vCM-LV-Hybrid	vCM	imputed	0.4330
DNAH5	vCM-IVS-His	vCM	imputed	0.0163
