	CHD	CardiovascularDisease	PCGC_DeNovoVariants
ATR_000_set19__104	-0.1784	-0.6272	-0.0924
ATR_000_set19__114	-0.1647	0.0355	-0.0966
ATR_000_set19__157	0.2869	-0.4822	0.1707
ATR_000_set19__178	-0.1457	-0.8254	-0.1549
ATR_000_set19__181	0.1721	0.6771	0.0593
ATR_000_set19__184	0.1605	-0.6160	0.0697
ATR_000_set19__221	0.1969	0.2797	0.2119
ATR_000_set19__35	0.1435	-0.6943	0.1794
ATR_000_set19__69	0.1751	0.5793	0.0754
ATR_000_set19__99	-0.1402	-0.7902	-0.3306
ATR_001_set15__101	-0.2016	-0.7027	-0.0875
ATR_001_set15__173	0.0192	-0.5896	0.0343
ATR_001_set15__174	0.0954	-0.5473	0.0734
ATR_001_set15__201	0.3300	-0.4268	0.3965
ATR_001_set15__211	0.2852	-0.4648	0.0949
ATR_001_set15__226	-0.0442	-0.6818	-0.4216
ATR_001_set15__240	-0.0058	-0.3372	-0.0683
ATR_001_set15__282	0.1693	-0.3378	0.3519
ATR_001_set15__326	0.1656	-0.5037	0.1613
ATR_001_set15__355	-0.1230	-0.5672	-0.1022
ATR_001_set15__382	-0.1942	-0.7656	-0.2159
ATR_001_set15__84	0.0833	-0.6442	0.0283
ATR_001_set17__132	0.2014	-0.5925	0.1607
ATR_001_set17__274	0.2109	-0.4702	0.0922
ATR_001_set17__431	0.3154	-0.1259	0.5698
ATR_001_set17__460	-0.1413	-0.4232	0.1002
ATR_001_set17__511	0.1167	-0.5318	0.1103
ATR_001_set17__588	-0.3737	-0.3411	-0.0487
ATR_001_set17__616	0.1393	-0.3479	0.1513
ATR_001_set17__76	0.4614	-0.2472	0.4805
ATR_001_set18__120	0.3257	0.6262	0.1497
ATR_001_set18__17	0.2965	0.3768	0.2843
ATR_001_set18__195	0.4353	-0.4987	0.4293
ATR_001_set18__247	0.2411	0.4339	0.2458
ATR_001_set18__281	0.2363	0.3868	0.2373
ATR_001_set18__31	0.3039	0.4627	0.3146
ATR_001_set18__385	-0.1963	0.0052	-0.0974
ATR_001_set18__404	0.2156	0.2943	0.2669
ATR_001_set1__107	0.0411	-0.5530	-0.0731
ATR_001_set1__110	0.2279	-0.5537	0.4803
ATR_001_set1__144	0.0369	0.3574	-0.0300
ATR_001_set1__33	0.0544	0.2599	-0.0076
ATR_001_set20__154	0.1242	-0.5298	0.1749
ATR_001_set20__220	0.2049	0.7787	0.0983
ATR_001_set20__243	-0.0345	-0.2680	0.0208
ATR_001_set20__264	-0.2975	-0.8466	-0.4677
ATR_001_set20__287	-0.0510	0.2366	-0.0426
ATR_001_set20__314	-0.1773	-0.8971	0.0254
ATR_001_set20__321	-0.1360	-0.0021	-0.1076
ATR_001_set20__363	0.0967	0.1880	0.1445
ATR_001_set20__392	-0.2606	-0.1139	-0.2690
ATR_001_set20__469	-0.0725	-0.2111	0.0390
ATR_001_set20__553	-0.2877	-0.3532	-0.3432
ATR_001_set20__82	0.1340	0.8465	0.1774
ATR_001_set20__96	0.1216	0.5577	0.0939
ATR_001_set2__80	-0.4107	-0.7397	-0.4708
ATR_001_set3__69	0.2027	0.6542	0.1084
ATR_001_set7__120	-0.0087	0.3287	-0.0877
ATR_001_set7__121	-0.2481	0.3674	-0.2452
ATR_001_set7__172	0.1655	0.6133	0.0977
ATR_001_set7__188	-0.2727	-0.0181	-0.3542
ATR_001_set7__308	-0.3315	-0.5538	-0.3337
ATR_001_set7__327	-0.1883	0.1436	-0.0184
ATR_001_set7__384	0.0612	0.6186	0.0455
ATR_001_set7__458	0.0088	-0.5795	0.1429
ATR_001_set7__462	0.0685	0.5635	0.0934
ATR_001_set7__542	-0.5697	-0.1658	-0.3447
ATR_001_set7__618	-0.3675	-0.1223	-0.3609
ATR_001_set8__106	0.0327	-0.6225	0.0381
ATR_001_set8__108	0.1227	-0.5953	0.0464
ATR_001_set8__116	0.2754	0.0288	0.3787
ATR_001_set8__153	-0.0945	-0.5274	-0.6296
ATR_001_set8__195	-0.2827	0.3802	-0.2412
ATR_001_set8__262	0.0191	0.5369	0.0364
ATR_001_set8__295	-0.3009	0.3827	-0.2770
ATR_001_set8__519	0.2454	-0.4763	0.2490
ATR_001_set8__585	-0.1228	-0.5142	-0.1668
ATR_001_set8__600	-0.3852	-0.6744	-0.5088
ATR_001_set8__622	-0.2228	0.3394	-0.1819
ATR_001_set8__676	0.1620	-0.3984	0.2132
ATR_001_set8__700	0.5905	-0.6429	0.4713
ATR_001_set9__234	-0.3420	-0.7664	0.1406
ATR_001_set9__258	0.0804	-0.5760	0.1326
ATR_001_set9__77	0.0054	-0.6028	0.0029
ATR_002_set11__166	0.1008	0.8619	0.1442
ATR_002_set11__212	0.1442	0.5250	0.1228
ATR_002_set11__254	-0.0757	-0.4700	-0.0279
ATR_002_set11__261	0.1003	0.5022	0.1002
ATR_002_set11__288	-0.4931	-0.6259	-0.1028
ATR_002_set11__312	0.0609	0.3758	0.0746
