gene	tau	max_celltype	max_mean_log1p	n_traits	traits
KRT13	0.9962060004390286	adFibro	0.00010582433	1	PCGC_DeNovoVariants
FLT4	0.9779014109234079	LEC	0.25114667	2	Malformation_of_the_outflow_tract;PCGC_DeNovoVariants
KYNU	0.9725183457217303	WBC	0.50841105	4	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects
TBX1	0.9696413477898891	LEC	0.10033283	2	Malformation_of_the_outflow_tract;Ventricular_septal_defect
CYP21A2	0.9661044455419643	LEC	0.0107420925	1	PCGC_DeNovoVariants
TFAP2B	0.9254860868870538	Neuronal	0.13607813	1	Malformation_of_the_outflow_tract
GPBAR1	0.9219036751819047	aEndocardial	0.018829184	1	PCGC_DeNovoVariants
DLL4	0.9137724018523911	BEC	0.10391316	3	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
SALL1	0.9045078352078136	vEndocardial	0.1937405	4	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
RYR3	0.8972837673339774	aCM-LA	0.64784455	1	PCGC_DeNovoVariants
SALL4	0.8944250637528786	VEC	0.06194504	1	Malformation_of_the_outflow_tract
MYLK2	0.8880608619065716	vCM-LV/RV-Purkinje	4.112834e-05	1	HypertrophicCardiomyopathy
NGFR	0.8860909879974949	Neuronal	0.11400265	1	PCGC_DeNovoVariants
NALCN	0.8750957396539416	LEC	0.17395285	1	PCGC_DeNovoVariants
KDR	0.8443434132013303	BEC	0.6544052	1	Malformation_of_the_outflow_tract
STRA6	0.8240606710760685	adFibro	0.08331141	3	Atrial_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease
PYGL	0.809250127668142	WBC	0.39375147	1	PCGC_DeNovoVariants
FBN3	0.799863398484101	Neuronal	0.10227112	1	PCGC_DeNovoVariants
PKD1L1	0.7718323019085901	BEC	0.0805032	4	Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect
MESP1	0.7711090805563906	ncCM-AVC-like	0.009531725	2	Malformation_of_the_outflow_tract;Ventricular_septal_defect
SCN10A	0.7680268822316413	VIC	0.00070759055	1	PCGC_DeNovoVariants
RPL3L	0.7627636629126016	vCM-LV-Hybrid	0.050029486	1	DilatedCardiomyopathy
FOXC2	0.7540117335554128	VEC	0.048054516	1	Malformation_of_the_outflow_tract
PSEN2	0.7495439535510426	LEC	0.05157331	1	DilatedCardiomyopathy
SAMD11	0.7477616589786975	Neuronal	0.113622956	1	PCGC_DeNovoVariants
LTBP2	0.7334091097519574	VIC	0.2274183	2	Malformation_of_the_outflow_tract;Valve_defects
PRKAG2	0.7304712727359877	aCM-LA	0.9481922	1	HypertrophicCardiomyopathy
LOX	0.7244927930313798	adFibro	0.40943882	1	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
MYO7B	0.7217548260399597	VEC	0.011002017	1	PCGC_DeNovoVariants
ELN	0.7152997991444384	VSMC	0.92501926	3	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects
MYPN	0.7096175350315143	aCM-LA	0.28508374	1	DilatedCardiomyopathy
GPC3	0.7076478221977284	Compact vFibro	0.89861965	2	Atrial_septal_defect;Valve_defects
EYA4	0.7024174569839071	Neuronal	0.32760397	1	DilatedCardiomyopathy
