	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
Atrial_septal_defect	0.30406764	0.3251974	0.32491562	0.31478325	0.30613634	0.31600583	0.31617334	0.33143443	0.332994	0.34310654	0.33660045	0.32954285	0.2814743	0.34051904	0.34255838	0.34605134	0.32557014	0.31780025	0.34588033	0.3239894	0.3223541	0.33363298	0.33067128	0.33975914	0.3360449	0.3463001	0.3378321	0.32372367	0.33476236	0.33462924	0.3247266	0.3459983	0.3403814	0.35685965
Atrioventricular_septal_defect	0.27285933	0.3074134	0.32725617	0.3090612	0.2844862	0.30170974	0.30260825	0.31278205	0.32913795	0.36475933	0.3451764	0.3394424	0.20256473	0.31231523	0.31443834	0.36958206	0.3283007	0.32996148	0.31776395	0.30285636	0.3088418	0.29866707	0.2942402	0.29359373	0.30154866	0.30893	0.30744836	0.30013257	0.30887488	0.29321024	0.28035402	0.30146173	0.305519	0.36648044
DilatedCardiomyopathy	0.18510301	0.1994524	0.1555716	0.16875903	0.15631258	0.1731051	0.23266137	0.23116323	0.20204943	0.15236883	0.16880727	0.18100266	0.10489549	0.52133703	0.49589524	0.14874965	0.16271043	0.14092056	0.47248235	0.35030666	0.38474283	0.4193298	0.5616257	0.5421614	0.6055364	0.52483195	0.57656664	0.4999422	0.336297	0.6190081	0.60006785	0.535421	0.59810007	0.2603588
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	0.31790626	0.48216403	0.48928097	0.48403725	0.45535925	0.36771548	0.4588371	0.4739978	0.48370054	0.42102596	0.48827472	0.5667693	0.21958788	0.33661887	0.35366118	0.43450397	0.49329308	0.5271538	0.32703125	0.33776766	0.3212773	0.31996602	0.30580744	0.28036106	0.30906707	0.31687474	0.32133928	0.33550668	0.35872486	0.30194107	0.27990305	0.29321152	0.32478145	0.4261974
HypertrophicCardiomyopathy	0.18294469	0.1648382	0.09634866	0.1209014	0.123978905	0.12682746	0.22701046	0.20744589	0.16703184	0.12315456	0.12680867	0.13811457	0.1076405	0.62120825	0.5825043	0.103381924	0.105900615	0.08131686	0.55019075	0.3918484	0.45024103	0.48660928	0.6934602	0.6503539	0.7567013	0.6266771	0.71414477	0.60916984	0.37596843	0.7669521	0.73931813	0.63247323	0.73488885	0.2653956
Malformation_of_the_outflow_tract	0.2425383	0.30130976	0.31197715	0.29568633	0.26222292	0.2777162	0.2745077	0.3038391	0.31278822	0.30958742	0.32455364	0.30185708	0.19611892	0.2828967	0.2842473	0.30680272	0.31206796	0.30283663	0.2904682	0.27050555	0.28098407	0.28672653	0.28127292	0.2866555	0.28511205	0.29571253	0.2885598	0.2743231	0.28975102	0.28320226	0.27525118	0.29446334	0.29184902	0.31404254
PCGC_DeNovoVariants	0.31265104	0.3153541	0.31369442	0.30882037	0.31616074	0.32570422	0.3162617	0.31767195	0.32055745	0.3212795	0.31975284	0.32766864	0.28056252	0.30031997	0.30491567	0.3244313	0.31205672	0.30878097	0.30349055	0.29288605	0.28175396	0.29690444	0.2914198	0.29773563	0.29135692	0.30073836	0.2905579	0.27944958	0.31041294	0.2955283	0.28721616	0.30650908	0.30022627	0.33235082
Single_ventricle_disease	0.21907683	0.31381333	0.3240111	0.30238262	0.24886625	0.25242808	0.26704654	0.31668058	0.32294714	0.32657483	0.3539345	0.28802443	0.15424709	0.34687373	0.3416463	0.3159156	0.32119864	0.28320706	0.34017387	0.2951274	0.3184001	0.31762245	0.33243865	0.33040404	0.34168947	0.34023035	0.33936018	0.32010937	0.30837375	0.33253047	0.32175526	0.33557272	0.33753455	0.32117823
Valve_defects	0.27844954	0.31060535	0.3224931	0.30818108	0.2931181	0.30019078	0.29618406	0.3147867	0.32213047	0.33453852	0.33110082	0.3286938	0.24536328	0.28009185	0.28783932	0.33689937	0.32189593	0.32455608	0.29778448	0.28476107	0.2829892	0.28951743	0.27211922	0.28200203	0.27267694	0.2921152	0.27825162	0.2713105	0.29875955	0.2722914	0.26452368	0.29106602	0.2821151	0.3362337
Ventricular_septal_defect	0.26924506	0.28166914	0.2753489	0.26959014	0.26958737	0.27385527	0.2748275	0.2885793	0.2866192	0.30435672	0.2869022	0.27947006	0.24062942	0.29689932	0.3010644	0.3093265	0.27504373	0.27800757	0.31463125	0.2895607	0.2932074	0.305452	0.2998841	0.3112166	0.30338207	0.3173152	0.30635762	0.29411712	0.30257943	0.30254358	0.29658484	0.3172495	0.30881828	0.31926566
