trait_a	trait_b	jaccard	n_overlap	pearson_celltype
DilatedCardiomyopathy	HypertrophicCardiomyopathy	0.21428571428571427	12	0.9980885508658373
Atrial_septal_defect	Ventricular_septal_defect	0.25773195876288657	25	0.9180977942308578
Atrioventricular_septal_defect	Malformation_of_the_outflow_tract	0.25	16	0.8879615697182197
Atrial_septal_defect	Single_ventricle_disease	0.15384615384615385	14	0.8611958126460701
Atrioventricular_septal_defect	Valve_defects	0.15476190476190477	13	0.8587483333125484
PCGC_DeNovoVariants	Valve_defects	0.11570247933884298	14	0.849781454121495
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	Valve_defects	0.0375	3	0.8464558583202183
Malformation_of_the_outflow_tract	Valve_defects	0.35051546391752575	34	0.784839668452987
Single_ventricle_disease	Ventricular_septal_defect	0.0851063829787234	4	0.779510634882485
Malformation_of_the_outflow_tract	Single_ventricle_disease	0.15625	10	0.7542453184374884
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	PCGC_DeNovoVariants	0.014492753623188406	1	0.7407872345810987
Atrial_septal_defect	Malformation_of_the_outflow_tract	0.3302752293577982	36	0.7114176228240517
Atrial_septal_defect	Atrioventricular_septal_defect	0.18085106382978725	17	0.689882695018765
DilatedCardiomyopathy	Ventricular_septal_defect	0.013513513513513514	1	0.6751567089358542
HypertrophicCardiomyopathy	Ventricular_septal_defect	0.016666666666666666	1	0.6562382692522085
Atrioventricular_septal_defect	PCGC_DeNovoVariants	0.024390243902439025	2	0.6365072526165995
Atrioventricular_septal_defect	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	0.0	0	0.6176767857411924
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	Malformation_of_the_outflow_tract	0.0	0	0.6127258603921871
Atrioventricular_septal_defect	Single_ventricle_disease	0.14285714285714285	5	0.5906088659415681
DilatedCardiomyopathy	Single_ventricle_disease	0.0	0	0.5561299251857927
Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	0.06306306306306306	7	0.536302633936935
HypertrophicCardiomyopathy	Single_ventricle_disease	0.0	0	0.5176339922566026
Malformation_of_the_outflow_tract	Ventricular_septal_defect	0.22972972972972974	17	0.4673827565809392
Atrial_septal_defect	DilatedCardiomyopathy	0.023809523809523808	3	0.46442219212945257
Atrioventricular_septal_defect	Ventricular_septal_defect	0.14	7	0.44824776808314665
Atrial_septal_defect	HypertrophicCardiomyopathy	0.017699115044247787	2	0.43225312242903696
Atrial_septal_defect	Valve_defects	0.5428571428571428	57	0.35359604611662737
Single_ventricle_disease	Valve_defects	0.16666666666666666	13	0.22896079651733245
Atrial_septal_defect	PCGC_DeNovoVariants	0.12878787878787878	17	0.21401850250025922
Valve_defects	Ventricular_septal_defect	0.27058823529411763	23	0.051757068963726956
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	Single_ventricle_disease	0.04	1	0.04185541401723733
Atrial_septal_defect	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	0.021052631578947368	2	-0.004685662271139692
PCGC_DeNovoVariants	Single_ventricle_disease	0.012987012987012988	1	-0.027229098683545172
DilatedCardiomyopathy	Malformation_of_the_outflow_tract	0.010309278350515464	1	-0.06439775288893007
PCGC_DeNovoVariants	Ventricular_septal_defect	0.03260869565217391	3	-0.06840272717708745
HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	0.0	0	-0.11389065779411377
Atrioventricular_septal_defect	DilatedCardiomyopathy	0.0	0	-0.21055752526853186
Atrioventricular_septal_defect	HypertrophicCardiomyopathy	0.0	0	-0.24780906428051935
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	Ventricular_septal_defect	0.0	0	-0.31780450546599043
DilatedCardiomyopathy	Valve_defects	0.008771929824561403	1	-0.6263471543451821
DilatedCardiomyopathy	PCGC_DeNovoVariants	0.009900990099009901	1	-0.6393799585134969
HypertrophicCardiomyopathy	Valve_defects	0.0	0	-0.6608686357891467
HypertrophicCardiomyopathy	PCGC_DeNovoVariants	0.0	0	-0.6675633736074729
DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	0.0	0	-0.694882198983239
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	0.0	0	-0.7280099836768125
