	ABCC9	DES	FOXC1	GJA1	HAND1	HAND2	JAG1	MFAP5	MYH11	MYH6	MYH7	NKX2-5	NOTCH1	NR2F2	PITX2	PLN	RABGAP1L	SCN5A	TBX5	TTN
BEC	0.24452105	2.2033534	0.18678324	1.0651511	0.09190252	0.4937408	0.26736286	0.058950383	0.0444563	0.7181426	3.5862103	0.24994968	1.2210224	0.7999989	0.03239871	2.1489613	0.27638358	0.14458469	0.19725358	0.72410303
Compact vFibro	0.23459382	2.131745	0.07707556	0.74753344	0.09233385	0.4778703	0.16914833	0.07095292	0.025268573	0.53690594	3.6273377	0.20261325	0.40793753	0.49303222	0.07154741	2.0131629	0.22995323	0.13899894	0.33150354	0.75978166
EPDC	0.40813565	1.0971116	0.1852079	0.16597953	0.048426174	0.46950638	0.4536241	0.09093392	0.13958883	0.75744367	0.89341277	0.07431252	0.58104056	1.2949659	0.07137099	0.73113596	0.22369228	0.04623213	0.32023847	0.21215737
Epicardial	0.35467577	1.5818098	0.1617856	0.55740505	0.070620045	0.5010293	0.2944272	0.09593249	0.036010373	0.62657243	1.4812105	0.13769758	0.3270531	0.8096055	0.12083	1.135643	0.22338322	0.06122155	0.26791763	0.35352942
LEC	0.13151394	0.9697339	0.2347506	2.3542738	0.04227328	0.5415176	0.33811975	0.080246344	0.08673968	0.7621997	0.9100611	0.09383603	1.3722997	1.6311717	0.061580047	0.80370045	0.2839991	0.05094394	0.14224347	0.37218583
Neuronal	0.09673232	1.0002817	0.15162095	0.27665082	0.047550317	0.79294413	0.92241794	0.07551295	0.06194979	1.2147615	0.4219931	0.05871823	0.9612783	1.1083914	0.05766844	0.8759681	0.25066978	0.12590589	0.21914943	0.24664636
Pericyte	1.1176304	2.1220655	0.1470806	0.9258417	0.10335513	0.49254665	0.30395737	0.051635608	0.07529619	0.6019508	3.6630824	0.24861743	0.9252053	1.5120987	0.056950368	2.137246	0.25834978	0.1798182	0.2897184	0.8649308
Proliferating vFibro	0.19856411	2.2035296	0.10004413	0.81951904	0.10481183	0.5200671	0.14192896	0.057100676	0.033686016	0.68586236	3.6641746	0.27723134	0.4971144	0.5484292	0.050526857	2.007034	0.23275217	0.187645	0.3418293	0.8668477
Trabecular vFibro	0.26140606	1.9324403	0.330686	0.75514066	0.07889131	0.4005482	0.32878557	0.07662948	0.055550214	0.567207	3.2741435	0.18891597	0.693503	0.85214937	0.0793106	1.7351243	0.17582469	0.19225891	0.35025463	0.68633705
VEC	0.032942344	0.7773488	0.82547736	0.34100616	0.028270613	0.85554147	0.35201883	0.08138254	0.06202914	0.7208917	1.4448934	0.069193915	0.9567534	0.70086247	0.03600114	0.8082687	0.16494599	0.07689785	0.19265023	0.28592986
VIC	0.12509917	0.82976943	0.20687127	0.14798847	0.045551427	0.58090216	0.150324	0.11438342	0.028881533	0.7609934	1.2179627	0.061918758	0.44733784	0.4719831	0.06018185	0.66104406	0.20449363	0.022022834	0.34174347	0.25090277
VSMC	0.11988897	0.5600741	1.0521374	0.33674878	0.04664374	0.8626386	1.343432	0.1809867	1.902958	0.63675296	0.43131226	0.061051413	0.64356786	0.80724275	0.046624567	1.0128908	0.21464898	0.05528789	0.13993894	0.3063464
WBC	0.10202767	1.918665	0.10063663	0.636362	0.08943336	0.5793947	0.111445315	0.073342964	0.0664766	0.8013118	2.895676	0.19688033	0.5122589	0.3890015	0.018366141	1.7125833	0.32416707	0.10361158	0.17215815	0.6605101
aCM-LA	0.10678803	2.1036937	0.048537772	0.7291478	0.045647386	1.049655	0.35450706	0.18906823	0.02600183	3.2630394	0.21554695	0.33826005	0.12854147	1.0611244	0.04640477	2.5480514	0.43741518	0.32070324	1.5721023	2.0660498
aCM-RA	0.1458582	2.4236286	0.06260504	0.4471591	0.03412974	0.9933712	0.3562835	0.1653578	0.028412264	3.0752544	0.8119608	0.3232935	0.2015975	1.0302789	0.043088093	2.5736938	0.8665564	0.36942723	1.5600607	1.763608
aEndocardial	0.060481105	1.1122695	1.1167862	0.37001196	0.026168412	0.62187296	0.44613954	0.11764255	0.086770535	1.812651	0.27432156	0.09301449	0.80863667	1.3484595	0.025878273	1.1648117	0.19817148	0.07759076	0.4147718	0.33115646
aFibro	0.24868235	1.5470501	0.2640796	0.19678514	0.035486892	0.5630479	0.46287316	0.10647536	0.08356543	1.800609	0.33783972	0.12620279	0.40520748	1.0446094	0.0624877	1.3123199	0.22070247	0.08928483	0.4675588	0.40490857
adFibro	0.16780797	0.6588968	0.3895865	0.2761506	0.020894505	0.53843045	0.84037095	0.22194323	0.12681311	0.78503275	0.051702548	0.057590503	0.31496018	0.9308613	0.05280603	0.74056315	0.21467157	0.05159708	0.31156835	0.09414533
ncCM-AVC-like	0.13035852	2.7845223	0.018779596	0.052126568	0.11108208	1.0705894	0.06183229	0.10105696	0.018764535	3.1608627	1.0893822	0.43175352	0.13259096	0.8739177	0.059120353	2.2726085	0.5006017	0.08355616	1.6947055	2.1726403
ncCM-IFT-like	0.10615564	2.5711741	0.08752326	0.22119817	0.0323543	0.92341137	0.44219574	0.11648247	0.14875832	2.8738914	0.48324016	0.2203346	0.1487475	1.1000808	0.04506377	2.283235	0.47815675	0.18622862	1.4968288	1.7183164
vCM-IVS-His	0.07262127	2.2225144	0.028416907	0.20919864	0.06636317	0.4763983	0.07282658	0.07438886	0.027649755	2.4402506	3.2859871	0.6689165	0.12747613	0.3753166	0.033722878	2.6990316	0.14635785	0.30330476	0.8225672	1.9076673
vCM-LV-AV	0.12826604	2.197193	0.026912611	0.2910348	0.21297126	0.7645469	0.046378747	0.070310086	0.007335185	1.2933735	4.092654	0.4179128	0.075337306	0.5726546	0.019178525	1.6532079	0.15732555	0.0637871	0.85475564	1.8210533
vCM-LV-Compact I	0.25928545	2.3291073	0.03238734	1.5996088	0.15941367	1.0197644	0.061988316	0.02894945	0.01944502	0.87301916	4.179066	0.39030507	0.13881245	0.32651815	0.032807235	2.6544602	0.45435253	0.4305227	0.6104976	1.7494265
vCM-LV-Compact II	0.19663458	2.3487425	0.0347954	1.3851569	0.18142226	0.9775805	0.06210191	0.027117288	0.02002209	0.96865374	4.118226	0.42540908	0.1580035	0.29935873	0.025811683	2.5054207	0.34257978	0.37470296	0.5486076	1.5035192
vCM-LV-Hybrid	0.18790345	2.428686	0.045287695	1.9357895	0.14824599	0.88551116	0.06589285	0.023000265	0.020089505	0.91806114	4.17006	0.40313104	0.15630038	0.24913426	0.02280534	2.6495047	0.33192322	0.73625594	0.8083385	1.781299
