gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
GATA4	0.0364	2.1607	1.9723	1.9697	0.3415	1.0155	1.7467	2.1300	2.0812	1.9409	1.9733	1.2246	0.7018	2.0093	2.0566	1.9407	1.8915	1.3662	1.8699	2.1824	2.4014	2.3488	1.8646	1.8375	1.7981	2.0629	1.9546	2.1959	2.1572	1.7936	1.8008	1.9767	1.9368	2.2526
GATA6	0.4952	1.3605	1.3464	1.3666	0.5352	0.6294	1.2768	1.3930	1.4044	1.6357	1.3134	1.2300	-0.4319	1.2524	1.2835	1.4349	1.3552	1.5897	1.3475	1.5701	1.3218	1.8624	1.3379	1.3073	1.2362	1.4054	1.2629	1.1569	1.5023	1.2375	1.2443	1.4581	1.3640	1.7070
NKX2-5	-0.1722	-0.2759	-0.3691	-0.3452	-0.4344	-0.3390	-0.0411	-0.3080	-0.4203	-0.9300	-0.4411	-0.4287	-0.5727	1.2662	1.2289	-0.9765	-0.3930	-0.4659	1.1299	0.6903	0.4734	0.6569	1.3738	1.4168	1.4759	1.3319	1.4768	1.2455	-0.0102	1.5455	1.5488	1.4188	1.4909	-0.6542
TBX5	-1.0576	0.3682	0.5530	0.4946	-0.3936	0.0402	-0.1049	0.4088	0.2656	-0.5796	0.5694	0.2158	-0.8101	1.3631	1.4075	-0.6618	0.4602	1.0712	1.0699	0.9666	1.1112	0.9286	0.5918	0.4287	0.5873	0.7003	0.8022	1.0314	0.4032	0.2892	0.2983	0.2780	0.4376	-0.6291
TBX20	-0.9219	1.7730	1.3921	1.2012	-0.3742	0.6110	0.2443	1.5887	1.4232	0.2938	1.5728	0.2736	-0.6092	1.0695	1.0520	-0.1582	1.3619	0.2057	0.7865	0.7114	1.4318	0.8058	1.1174	1.0611	1.0440	0.9455	0.9416	0.7449	0.8667	1.0914	1.0485	1.0321	1.1104	0.0698
TBX1	-0.4158	-0.9632	-0.8231	-0.8673	0.2907	-0.8625	-0.6244	-0.9361	-0.8368	-0.7655	-0.6213	-0.5583	-0.1527	-1.0879	-1.0603	-0.7882	-0.7547	-0.6040	-1.1742	-1.0622	-0.5142	-0.7285	-1.1806	-1.1059	-1.1560	-1.0625	-1.1077	-1.0642	-0.7593	-1.1727	-1.1346	-1.0524	-1.1652	-0.8735
HAND1	-0.3268	-0.5760	-0.5169	-0.4749	-0.4756	-0.3345	-0.5268	-0.6200	-0.6331	-0.4328	-0.4737	-0.5328	-0.2270	-0.7244	-0.7000	-0.3263	-0.4862	-0.4172	-0.9500	-0.9103	-0.8905	-0.4068	-0.0793	-0.0555	-0.0973	-0.2972	-0.2727	-0.4713	-0.4972	-0.0959	-0.0488	-0.1361	-0.2490	-0.4295
HAND2	0.4057	1.4709	1.3615	1.3776	0.1735	1.4634	0.7123	1.4607	1.3339	1.6038	1.3641	0.8455	0.0952	1.5397	1.5401	1.5216	1.2727	0.8002	0.9550	1.3905	1.4497	1.4724	1.4611	1.4222	1.3198	1.3314	1.2918	1.2929	1.2960	1.3969	1.4510	1.5020	1.4390	1.7083
MEIS2	0.0030	1.4487	1.3803	1.4431	1.4551	0.6596	0.8405	1.3292	1.1520	0.8429	1.1430	0.6658	0.2807	-0.2462	-0.0747	0.8124	1.2742	1.3156	-0.4535	-0.0345	0.3718	0.6127	0.4725	0.4172	0.3162	0.3521	0.2590	0.3268	0.6736	0.4491	0.4756	0.5437	0.4558	0.6663
MYH6	-1.1597	-1.2833	-1.2516	-1.3250	-1.4171	-1.3333	-1.3349	-1.3291	-1.3419	-1.0728	-1.2648	-1.3366	-0.8654	0.2520	0.1151	-1.0849	-1.2892	-1.3871	0.0694	-0.3834	-0.8542	-1.0232	-0.8665	-0.8152	-0.7589	-0.8886	-0.7962	-0.8025	-1.2983	-0.8109	-0.7750	-0.9862	-0.9079	-1.1799
