gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
GATA4	1.4694	3.4483	3.1573	3.0170	1.5226	2.1893	2.8543	3.3976	3.3447	3.3943	3.3352	2.4748	1.5488	3.9488	3.8402	3.4417	3.1018	2.2876	3.7694	3.3886	3.4879	3.2274	3.7591	3.3910	4.0197	3.4469	3.8486	3.5821	3.0860	3.8333	3.6465	3.3593	3.8246	3.5377
GATA6	1.8185	2.7734	2.6562	2.5652	1.6287	1.9350	2.5194	2.7902	2.7893	3.1288	2.7710	2.4787	0.8372	3.2833	3.1888	2.9946	2.6744	2.4303	3.3101	2.9738	2.7036	2.9134	3.3160	2.9894	3.4889	2.9757	3.2577	2.8163	2.6498	3.3369	3.1714	2.9906	3.3428	3.1056
NKX2-5	1.3107	1.3935	1.2828	1.2829	1.0975	1.2972	1.5801	1.3881	1.2919	0.8962	1.2707	1.2837	0.7487	3.2955	3.1427	0.8638	1.2812	1.1173	3.1189	2.3779	2.0872	2.1353	3.3462	3.0724	3.7153	2.9230	3.4405	2.8816	1.6424	3.6118	3.4314	2.9627	3.4496	1.2356
TBX5	0.6368	1.9367	2.0210	1.9121	1.1199	1.5470	1.5346	1.9790	1.8548	1.2011	2.1348	1.7481	0.5997	3.3806	3.2932	1.1419	1.9611	2.0991	3.0661	2.5650	2.5506	2.3107	2.6883	2.3238	2.8760	2.4704	2.8642	2.7239	1.9177	2.4903	2.3636	2.1518	2.5637	1.2555
TBX20	0.7400	3.1213	2.6928	2.4413	1.1305	1.9229	1.7835	2.9515	2.8047	1.9611	2.9928	1.7897	0.7258	3.1225	2.9937	1.5869	2.6797	1.5462	2.8170	2.3922	2.7835	2.2314	3.1305	2.8029	3.3073	2.6461	2.9832	2.5127	2.2265	3.2064	3.0042	2.6878	3.1296	1.8090
TBX1	1.1253	0.8139	0.9193	0.8919	1.4948	0.9524	1.1643	0.8705	0.9501	1.0393	1.1167	1.1903	1.0124	1.2257	1.2137	1.0302	0.9929	1.0291	1.0934	1.1907	1.3698	1.2411	1.1974	1.1613	1.2291	1.2072	1.2327	1.1793	1.1435	1.1853	1.1401	1.2062	1.2154	1.0619
HAND1	1.1930	1.1404	1.1644	1.1858	1.0750	1.3002	1.2339	1.1310	1.1173	1.3289	1.2429	1.2087	0.9658	1.5453	1.5173	1.4384	1.2069	1.1484	1.2905	1.2936	1.0964	1.4487	2.1238	1.9570	2.2292	1.7555	1.9460	1.6162	1.3181	2.1465	2.0672	1.8575	1.9861	1.4136
HAND2	1.7504	2.8666	2.6683	2.5735	1.4305	2.4842	2.1170	2.8460	2.7315	3.1010	2.8143	2.2017	1.1680	3.5359	3.4050	3.0713	2.6086	1.9260	2.9651	2.8521	2.7965	2.6617	3.4196	3.0765	3.5679	2.9227	3.2824	2.9166	2.5124	3.4791	3.3478	3.0218	3.4059	3.1067
MEIS2	1.4439	2.8479	2.6833	2.6225	2.1327	1.9548	2.2084	2.7376	2.5822	2.4389	2.6253	2.0723	1.2845	1.9657	2.0443	2.4446	2.6099	2.2553	1.7270	1.8869	2.0134	2.1067	2.5880	2.3151	2.6198	2.2209	2.4002	2.2045	2.0979	2.6331	2.5150	2.3407	2.5789	2.2814
MYH6	0.5591	0.5439	0.5763	0.5491	0.5592	0.6424	0.6579	0.5465	0.5356	0.7720	0.5665	0.6296	0.5650	2.4037	2.2042	0.7680	0.5669	0.5288	2.1866	1.6506	1.1228	1.0509	1.4616	1.3815	1.6042	1.3318	1.4989	1.3721	0.7845	1.5082	1.4471	1.2532	1.4319	0.8193
MYH7	1.9051	1.8156	1.8895	1.8122	1.8290	2.1253	2.0150	1.7998	1.8416	2.4062	1.8975	1.9136	1.8632	3.2197	3.0551	2.4718	1.8378	1.7441	3.0220	2.5879	2.2813	2.5161	3.3395	3.1597	3.6093	2.9468	3.3292	2.8388	2.1311	3.4788	3.3209	2.9791	3.3159	2.4718
MYBPC3	0.8099	0.5812	0.5667	0.5387	0.6952	0.5867	0.5984	0.6071	0.5617	0.6448	0.6153	0.6162	0.5604	1.9494	1.8062	0.7172	0.5422	0.6252	1.6938	1.4500	1.2985	1.2326	1.8816	1.6955	2.0658	1.5677	1.8182	1.5655	0.8428	1.9569	1.8223	1.5589	1.8420	0.7958
TNNT2	1.8504	1.5254	1.4518	1.5120	1.3853	1.6451	1.5052	1.5434	1.5080	1.4009	1.5242	1.5904	0.7369	3.2339	3.0447	1.4055	1.4848	1.4501	2.8294	2.5751	2.2102	2.0284	3.0011	2.7216	3.2904	2.6457	3.0872	2.6292	1.8488	3.1588	3.0009	2.6630	3.0512	1.6233
TNNI3	1.1574	1.2735	1.2648	1.2761	1.1508	1.3776	1.5058	1.2955	1.3202	1.4399	1.3092	1.3524	0.9147	1.7645	1.8039	1.6375	1.1783	1.0918	2.1766	1.8595	1.2701	1.4913	2.1354	1.9639	2.3012	1.9221	2.1501	1.7445	1.3965	2.1142	1.9534	1.8833	2.1041	1.6508
TNNC1	1.7641	1.5560	1.4776	1.4422	1.3754	1.5462	1.7483	1.5894	1.5274	1.7696	1.4677	1.5517	1.9317	1.9471	1.9237	1.8045	1.4427	1.2394	2.0095	1.7682	1.6724	1.7466	2.3033	2.1633	2.4260	2.0337	2.2465	2.0229	1.8503	2.4145	2.3531	2.1687	2.3500	1.8153
ACTC1	0.6901	0.5535	0.5398	0.5963	0.7518	0.8924	0.7067	0.5788	0.5827	0.6044	0.6016	0.6683	0.4446	2.3835	2.1373	0.5882	0.5249	0.7113	2.5187	1.8581	1.5663	1.2762	2.1903	1.9698	2.5272	1.9191	2.2718	2.0380	0.8895	2.3909	2.1785	1.7888	2.2503	0.8315
