gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
GATA4	0.2345	0.7022	0.7393	0.6236	0.1465	0.3419	0.5334	0.7094	0.7831	1.2044	0.9095	0.4382	0.1056	1.1569	1.1678	1.1863	0.7283	0.5139	1.2855	0.9399	1.1696	1.0878	1.0013	1.0786	1.0396	1.1189	1.0465	1.0165	0.9292	1.0232	1.0183	1.1350	1.0469	1.1769
GATA6	0.2842	0.8252	0.9832	0.8537	0.3673	0.4053	0.4976	0.8734	0.9549	0.9145	1.0929	0.9086	0.1395	0.8993	0.8781	0.8622	0.9674	0.8363	0.8304	0.7053	0.7196	0.8930	0.8677	0.8732	0.8607	0.8814	0.8350	0.7157	0.8303	0.8600	0.8483	0.9019	0.8600	0.9139
NKX2-5	0.2499	0.2026	0.0743	0.1377	0.0938	0.0587	0.2486	0.2772	0.1889	0.0692	0.0619	0.0611	0.1969	0.3383	0.3233	0.0930	0.1262	0.0576	0.4318	0.2203	0.6689	0.4179	0.3903	0.4254	0.4031	0.5067	0.4253	0.4462	0.3666	0.3875	0.2575	0.3538	0.3917	0.2221
TBX5	0.1973	0.3315	0.3202	0.2679	0.1422	0.2191	0.2897	0.3418	0.3503	0.1927	0.3417	0.1399	0.1722	1.5721	1.5601	0.4148	0.4676	0.3116	1.6947	1.4968	0.8226	0.8548	0.6105	0.5486	0.8083	0.8702	0.9579	1.0834	0.3764	0.4654	0.3802	0.4021	0.5357	0.4108
TBX20	0.2458	2.4321	2.1875	1.7966	0.2928	1.0140	0.6886	2.0940	2.0750	0.7510	2.3178	0.8708	0.2009	2.0412	1.8409	0.4903	2.1098	0.8283	1.4526	1.0616	1.2373	1.5323	1.8672	1.7059	1.8692	1.5860	1.6677	1.2786	1.4407	1.8105	1.7503	1.6753	1.7132	0.6554
TBX1	0.0113	0.0011	0.0016	0.0018	0.1163	0.0073	0.0040	0.0018	0.0026	0.0031	0.0014	0.0101	0.0045	0.0019	0.0016	0.0041	0.0032	0.0024	0.0014	0.0047	0.0037	0.0071	0.0009	0.0019	0.0002	0.0024	0.0009	0.0013	0.0069	0.0007	0.0007	0.0030	0.0013	0.0035
HAND1	0.0919	0.0923	0.0484	0.0706	0.0423	0.0476	0.1034	0.1048	0.0789	0.0283	0.0456	0.0466	0.0894	0.0456	0.0341	0.0262	0.0355	0.0209	0.1111	0.0324	0.0664	0.2130	0.1594	0.1814	0.1482	0.1587	0.1341	0.0834	0.0881	0.1135	0.0915	0.1268	0.0844	0.0755
HAND2	0.4937	0.4779	0.4695	0.5010	0.5415	0.7929	0.4925	0.5201	0.4005	0.8555	0.5809	0.8626	0.5794	1.0497	0.9934	0.6219	0.5630	0.5384	1.0706	0.9234	0.4764	0.7645	1.0198	0.9776	0.8855	0.6427	0.6561	0.3695	0.6942	0.8631	0.8728	0.8598	0.7560	0.4836
MEIS2	0.5892	1.6261	1.9016	1.8297	1.6528	1.2049	1.1550	1.6031	1.6523	1.7228	2.0295	1.3996	0.2737	0.9433	1.0624	1.7095	1.7611	1.7475	1.0675	1.0776	1.4183	1.5712	1.8390	1.7028	1.9248	1.7491	1.8665	1.6652	1.4598	1.9544	1.8691	1.7984	1.9876	1.5904
PITX2	0.0324	0.0715	0.0714	0.1208	0.0616	0.0577	0.0570	0.0505	0.0793	0.0360	0.0602	0.0466	0.0184	0.0464	0.0431	0.0259	0.0625	0.0528	0.0591	0.0451	0.0337	0.0192	0.0328	0.0258	0.0228	0.0258	0.0195	0.0335	0.0222	0.0265	0.0227	0.0306	0.0279	0.0454
MYH6	0.7181	0.5369	0.7574	0.6266	0.7622	1.2148	0.6020	0.6859	0.5672	0.7209	0.7610	0.6368	0.8013	3.2630	3.0753	1.8127	1.8006	0.7850	3.1609	2.8739	2.4403	1.2934	0.8730	0.9687	0.9181	1.1049	0.9967	1.0563	1.2154	0.8372	1.1121	1.0579	0.8680	0.5594
