gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
GATA4	-1.9232	-0.4918	-0.3782	-0.7323	-2.1927	-1.5947	-1.0086	-0.4699	-0.2443	1.0454	0.1427	-1.2998	-2.3180	0.8998	0.9331	0.9898	-0.4120	-1.0681	1.2935	0.2356	0.9387	0.6883	0.4235	0.6603	0.5409	0.7835	0.5619	0.4701	0.2029	0.4907	0.4758	0.8328	0.5633	0.9610
GATA6	-2.4255	0.1569	0.9111	0.2929	-2.0287	-1.8474	-1.4071	0.3868	0.7758	0.5830	1.4344	0.5547	-3.1160	0.5107	0.4093	0.3335	0.8356	0.2097	0.1814	-0.4156	-0.3473	0.4806	0.3595	0.3859	0.3260	0.4249	0.2036	-0.3657	0.1809	0.3230	0.2672	0.5229	0.3231	0.5800
NKX2-5	-0.1273	-0.4303	-1.2516	-0.8459	-1.1266	-1.3514	-0.1358	0.0473	-0.5180	-1.2844	-1.3309	-1.3365	-0.4670	0.4380	0.3422	-1.1319	-0.9194	-1.3586	1.0364	-0.3169	2.5546	0.9478	0.7711	0.9958	0.8532	1.5164	0.9950	1.1291	0.6195	0.7530	-0.0789	0.5377	0.7800	-0.3056
TBX5	-0.8832	-0.5788	-0.6044	-0.7230	-1.0079	-0.8336	-0.6736	-0.5554	-0.5363	-0.8936	-0.5556	-1.0132	-0.9401	2.2340	2.2067	-0.3900	-0.2704	-0.6240	2.5119	2.0633	0.5346	0.6075	0.0537	-0.0866	0.5023	0.6425	0.8415	1.1260	-0.4770	-0.2752	-0.4684	-0.4187	-0.1158	-0.3991
TBX20	-1.8816	1.5956	1.2066	0.5849	-1.8069	-0.6598	-1.1773	1.0579	1.0277	-1.0782	1.4138	-0.8877	-1.9530	0.9739	0.6553	-1.4928	1.0830	-0.9551	0.0378	-0.5841	-0.3047	0.1645	0.6971	0.4407	0.7004	0.2500	0.3799	-0.2389	0.0188	0.6070	0.5112	0.3919	0.4523	-1.2301
TBX1	0.2475	-0.2746	-0.2493	-0.2391	5.6077	0.0415	-0.1276	-0.2389	-0.1980	-0.1747	-0.2618	0.1844	-0.1013	-0.2339	-0.2483	-0.1214	-0.1659	-0.2110	-0.2609	-0.0914	-0.1424	0.0323	-0.2879	-0.2347	-0.3204	-0.2096	-0.2851	-0.2631	0.0228	-0.2980	-0.2984	-0.1786	-0.2652	-0.1547
HAND1	0.1256	0.1346	-0.7827	-0.3190	-0.9113	-0.8010	0.3649	0.3953	-0.1462	-1.2038	-0.8428	-0.8200	0.0740	-0.8408	-1.0814	-1.2478	-1.0531	-1.3579	0.5263	-1.1185	-0.4080	2.6550	1.5361	1.9959	1.3028	1.5217	1.0066	-0.0513	0.0452	0.5773	0.1178	0.8556	-0.0313	-0.2177
HAND2	-0.9721	-1.0485	-1.0888	-0.9370	-0.7420	0.4688	-0.9778	-0.8453	-1.4208	0.7702	-0.5523	0.8044	-0.5596	1.7050	1.4340	-0.3550	-0.6383	-0.7568	1.8058	1.0971	-1.0556	0.3320	1.5611	1.3579	0.9146	-0.2546	-0.1902	-1.5704	-0.0069	0.8065	0.8535	0.7908	0.2910	-1.0209
MEIS2	-2.3416	0.2083	0.8859	0.7091	0.2742	-0.8274	-0.9502	0.1519	0.2729	0.4462	1.2006	-0.3485	-3.1176	-1.4708	-1.1780	0.4136	0.5404	0.5069	-1.1655	-1.1406	-0.3025	0.0735	0.7320	0.3971	0.9431	0.5109	0.7997	0.3046	-0.2006	1.0159	0.8060	0.6323	1.0975	0.1205
PITX2	-0.5173	1.2710	1.2630	3.5223	0.8157	0.6370	0.6042	0.3108	1.6256	-0.3527	0.7518	0.1326	-1.1583	0.1225	-0.0290	-0.8151	0.8572	0.4149	0.7034	0.0613	-0.4568	-1.1212	-0.4986	-0.8182	-0.9555	-0.8175	-1.1063	-0.4690	-0.9826	-0.7879	-0.9622	-0.5983	-0.7217	0.0748
MYH6	-0.6261	-0.8524	-0.5770	-0.7404	-0.5711	-0.0059	-0.7712	-0.6664	-0.8146	-0.6227	-0.5726	-0.7277	-0.5222	2.5518	2.3173	0.7407	0.7256	-0.5426	2.4242	2.0659	1.5244	0.0922	-0.4327	-0.3133	-0.3764	-0.1432	-0.2783	-0.2038	-0.0052	-0.4774	-0.1342	-0.2018	-0.4390	-0.8243
MYH7	0.6573	0.6831	-1.0273	-0.6595	-1.0168	-1.3222	0.7054	0.7061	0.4621	-0.6823	-0.8242	-1.3164	0.2253	-1.4513	-1.0782	-1.4146	-1.3748	-1.5538	-0.9047	-1.2839	0.4695	0.9742	1.0282	0.9902	1.0226	0.9586	0.9935	0.7609	0.9974	0.9591	1.0549	0.9386	0.9146	0.4083
MYBPC3	-0.8819	-0.9453	-0.9537	-0.9523	-0.9484	-0.9377	-0.7248	-0.8930	-0.9329	-0.9470	-0.9516	-0.9498	-0.8591	1.5176	1.0284	-0.9519	-0.9512	-0.9537	0.9872	0.1477	0.4559	0.0919	1.2521	0.7171	1.6624	0.7236	1.4424	1.0256	-0.3460	1.4996	1.2538	0.5351	1.3190	-0.5793
TNNT2	-0.7465	-0.8201	-1.1150	-1.0386	-1.0556	-1.0041	-0.6264	-0.6432	-0.8298	-1.0087	-1.0539	-1.0478	-0.9653	1.0558	0.8817	-1.0861	-1.0828	-1.1447	0.8175	0.1143	0.4026	0.4824	1.2016	1.0426	1.4338	0.9288	1.2819	0.8917	0.0055	1.4893	1.4171	0.9436	1.3480	-0.4694
TNNI3	-0.7982	-0.8740	-1.0643	-0.9366	-0.9395	-1.0459	-0.6959	-0.6287	-0.8515	-1.0026	-1.0084	-1.0539	-0.9687	0.8580	0.5387	-1.0633	-1.0497	-1.0718	0.5345	0.0473	0.2293	0.6854	1.1549	1.2409	1.4591	1.1701	1.4441	0.9114	-0.0187	1.5108	1.4405	1.0472	1.3100	-0.5106
TNNC1	-0.7204	-0.6254	-1.0633	-0.9091	-1.0184	-0.9923	-0.5678	-0.4391	-0.7324	-0.9428	-0.9832	-1.0576	-0.9701	0.4171	0.2331	-1.0476	-1.0448	-1.1470	0.2206	-0.1770	-0.0893	0.5484	1.3560	1.3023	1.4996	1.0013	1.2352	0.6928	0.1247	1.7536	1.7435	1.2266	1.5631	-0.3904
ACTC1	-0.7335	-0.6254	-1.1443	-0.9882	-1.0567	-1.0770	-0.5587	-0.4721	-0.6751	-1.0041	-1.0238	-1.1317	-1.0264	1.0015	0.7041	-1.1200	-1.1012	-1.2775	0.6245	0.0465	0.1344	0.4928	1.2246	1.1667	1.3748	0.9376	1.1631	0.7305	0.1018	1.5826	1.5511	1.1344	1.4184	-0.3737
ACTN2	-0.8265	-0.9542	-0.9903	-0.9846	-0.9795	-0.9680	-0.7003	-0.8403	-0.9431	-0.9800	-0.9775	-0.9348	-0.8760	0.8525	0.7714	-0.9901	-0.9806	-0.9932	0.6187	0.0287	0.1362	0.4410	1.2694	1.1562	1.4927	0.9740	1.2714	0.7544	-0.0543	1.6121	1.5785	1.1434	1.4306	-0.5581
TPM1	-0.7560	-0.8220	-1.1459	-0.9087	-0.9462	-1.0336	-0.4249	-0.5131	-0.7164	-1.1456	-0.9300	-0.7744	-1.3724	0.7177	0.6139	-1.2655	-1.0760	-1.2803	0.7454	0.0223	0.5148	0.5912	1.1730	1.1125	1.3891	1.0569	1.3187	0.9541	0.0860	1.4662	1.4054	1.0407	1.3571	-0.4537
TTN	-0.5787	-0.5255	-1.3407	-1.1302	-1.1025	-1.2893	-0.3690	-0.3662	-0.6349	-1.2308	-1.2830	-1.2005	-0.6733	1.4187	0.9686	-1.1635	-1.0538	-1.5163	1.5774	0.9012	1.1830	1.0541	0.9475	0.5815	0.9949	0.5154	0.9504	0.8939	0.5219	0.8760	0.8417	0.6067	0.8944	-0.2691
MYL2	-0.5795	-0.4703	-1.0050	-0.8713	-0.9347	-0.9664	-0.4183	-0.3234	-0.5517	-0.8050	-0.8971	-0.9955	-0.8747	-0.5579	-0.4779	-0.9574	-0.9732	-1.1097	-0.3981	-0.5988	0.3119	0.5617	1.4021	1.1958	1.5998	0.9955	1.3605	0.7899	0.2369	1.8603	1.8235	1.1809	1.6733	-0.2262
MYL3	-0.6735	-0.6526	-0.9469	-0.8567	-0.9085	-0.9131	-0.5352	-0.5138	-0.7020	-0.8429	-0.8918	-0.9496	-0.8654	-0.1113	-0.2477	-0.9521	-0.9474	-0.9951	-0.2255	-0.4480	-0.2545	0.4974	1.4361	1.3207	1.6437	1.0511	1.3570	0.7719	0.1001	1.8642	1.8126	1.2335	1.6605	-0.3154
DES	0.3064	0.2059	-1.2459	-0.5658	-1.4247	-1.3818	0.1923	0.3066	-0.0738	-1.6946	-1.6211	-1.9995	-0.0931	0.1665	0.6155	-1.2247	-0.6146	-1.8609	1.1219	0.8225	0.3333	0.2977	0.4828	0.5104	0.6226	0.4560	0.6402	1.2378	0.8037	1.2090	1.4452	0.9505	1.1771	-0.1037
VCL	-0.2276	0.4572	-0.1070	-0.1272	-1.4722	-1.0703	1.5162	0.2745	0.0554	-1.8560	-0.2031	1.1031	-2.8749	0.4287	0.7265	-1.3529	0.0454	-0.9401	1.0995	-0.1827	-0.6243	-0.0638	0.7489	0.6206	0.9917	0.3271	0.6444	-0.3399	-0.6877	1.3396	1.0074	0.7105	1.1641	-1.1313
PLN	0.3420	0.1570	-1.5897	-1.0386	-1.4909	-1.3924	0.3260	0.1486	-0.2218	-1.4846	-1.6852	-1.2058	-0.2526	0.8857	0.9207	-0.9989	-0.7979	-1.5769	0.5104	0.5249	1.0914	-0.3335	1.0307	0.8276	1.0239	0.4336	0.6889	0.7646	-0.4767	1.5001	1.4105	0.9381	1.1619	-0.1414
SCN5A	-0.4769	-0.5018	-0.9153	-0.8485	-0.8943	-0.5602	-0.3199	-0.2850	-0.2644	-0.7786	-1.0233	-0.8750	-0.6596	0.3082	0.5254	-0.7756	-0.7234	-0.8914	-0.7490	-0.2913	0.2306	-0.8371	0.7977	0.5489	2.1606	1.8096	2.1495	2.3187	-0.9982	0.5488	0.2908	0.1810	1.6550	0.1441
GJA1	0.3247	-0.1656	-1.0632	-0.4591	2.3145	-0.8924	0.1096	-0.0545	-0.1538	-0.7931	-1.0910	-0.7996	-0.3372	-0.1940	-0.6292	-0.7483	-1.0157	-0.8932	-1.2390	-0.9780	-0.9965	-0.8702	1.1496	0.8186	1.6685	0.6968	1.2933	1.3184	-0.9711	1.6033	0.9484	0.3957	1.5604	0.1429
NOTCH1	2.2289	-0.0626	0.4252	-0.2906	2.6553	1.4969	1.3952	0.1887	0.7422	1.4841	0.0484	0.6014	0.2314	-0.8501	-0.6442	1.0667	-0.0703	-0.3247	-0.8387	-0.7931	-0.8531	-1.0000	-0.8211	-0.7670	-0.7718	-0.6203	-0.7129	-0.7035	-0.9158	-0.6978	-0.8676	-0.6649	-0.6107	1.3165
JAG1	-0.0577	-0.4053	0.6017	0.0381	0.1928	2.2612	0.0719	-0.5017	0.1598	0.2420	-0.4720	3.7516	-0.6096	0.2508	0.2571	0.5752	0.6344	1.9708	-0.7852	0.5612	-0.7463	-0.8399	-0.7847	-0.7843	-0.7709	-0.6670	-0.5790	0.1131	-0.7610	-0.7398	-0.8152	-0.7283	-0.6545	0.0205
