	CHD	CardiovascularDisease	PCGC_DeNovoVariants
BEC	0.40345508	0.2561502	0.44258216
Compact vFibro	0.44484198	0.31881052	0.454704
EPDC	0.4556901	0.2660252	0.45102793
Epicardial	0.4349232	0.279407	0.44114447
LEC	0.426871	0.26128095	0.44653928
Neuronal	0.42193615	0.2542531	0.46084157
Pericyte	0.4223169	0.3687811	0.45270416
Proliferating vFibro	0.44803664	0.35179952	0.45263752
Trabecular vFibro	0.45702145	0.32006308	0.46121353
VEC	0.46123657	0.24018528	0.45367247
VIC	0.4669806	0.2776927	0.45894513
VSMC	0.4573936	0.3153847	0.4721243
WBC	0.34645012	0.15347174	0.39833578
aCM-LA	0.43091428	0.78529626	0.41550565
aCM-RA	0.4343956	0.7480714	0.42458275
aEndocardial	0.4632697	0.2355177	0.45728964
aFibro	0.45501286	0.27471986	0.44806716
adFibro	0.45002535	0.25874	0.4403915
ncCM-AVC-like	0.45121452	0.6951645	0.4287995
ncCM-IFT-like	0.41616502	0.51296073	0.4074435
vCM-IVS-His	0.42930743	0.5702814	0.40229216
vCM-LV-AV	0.42845652	0.6116862	0.41661254
vCM-LV-Compact I	0.41569787	0.87448144	0.40494788
vCM-LV-Compact II	0.4260845	0.81716394	0.41445693
vCM-LV-Hybrid	0.41979143	0.9564782	0.4037217
vCM-LV-Trabecular I	0.43783587	0.7875738	0.41786465
vCM-LV-Trabecular II	0.42462322	0.9010109	0.40237194
vCM-LV/RV-Purkinje	0.40964657	0.7659882	0.3857218
vCM-RV-AV	0.4379246	0.4959081	0.4416873
vCM-RV-Compact	0.41765344	0.98239434	0.41154835
vCM-RV-Hybrid	0.4047365	0.93987596	0.3990361
vCM-RV-Proliferating	0.43736148	0.80109024	0.42839804
vCM-RV-Trabecular	0.4287224	0.9431542	0.4183554
vEndocardial	0.4692803	0.39355752	0.46938398
