	ACTC1	MYL2	TNNT2	RBM20	TPM1	FHOD3	PRKG1	TNNC1	MYL3	DMD	CRYAB	CSRP3	ACTN2	LDB3	FBN1	NEXN	TBX20	CORIN	THSD4	TNNI3	ZEB2	RPL5	ZFPM2	MYBPC3	DSP	ANKRD1	ANK3	MYOZ2	PRKAG2	CAP2	MEIS2	GPC3	DTNA	LAMA4	SGCD	ELN	ACTB	PBX1	MED13L	PTEN	GATA4	PRKD1	LMOD2	RAD21	AKAP12	ACTA2	SDHA	AHNAK	HNRNPK	KLHL24	ARID1B	RERE	NF1	RBFOX2	CTNNB1	GATA6	CHD7	RYR3	KMT2C	GLI3
BEC	0.8692545	0.7721643	0.49957666	0.123368666	1.1506244	0.14771311	0.60991246	0.5326321	0.33401313	0.36532778	0.34668952	0.23490381	0.14442782	0.079601236	0.82362145	0.18026178	0.24581698	0.036650367	0.25501758	0.17169651	0.7089807	1.3700631	1.1987935	0.038169567	0.15826449	0.07016466	0.29505616	0.055486906	0.13627994	0.12187696	0.58923835	0.13755478	0.32630497	1.0894285	0.20687474	0.29415923	1.6299303	1.0251848	1.8254037	0.88865334	0.2345347	0.5226195	0.044415932	0.5792817	0.64319056	0.13380733	0.14744672	0.70874584	0.71276915	0.3552352	1.7591933	1.8491288	1.2488853	1.5080849	1.1371231	0.28420132	1.0412245	0.040386748	1.3538827	0.3179953
Compact vFibro	1.0021436	0.89161503	0.4156709	0.010407925	1.0780929	0.028814316	3.372315	0.62343794	0.35210615	1.0561918	0.36544117	0.20041445	0.036943164	0.0089212125	1.9872992	0.131112	2.4320748	0.005767921	0.1840982	0.13154395	1.9554422	1.641344	2.7526102	0.004673585	0.035722777	0.019749988	1.3999598	0.0031857276	0.014725399	0.06439991	1.6260586	1.4979777	0.028589157	1.5670216	1.2696408	0.52092564	1.4889886	1.8511192	1.7017368	1.2768646	0.7022296	0.98677737	0.004881659	0.54154533	0.8748837	0.25954047	0.06380153	0.86420923	0.72353226	0.11805897	1.6097206	1.4792984	1.2475524	1.5767967	0.397844	0.8252133	0.1514018	0.026242098	1.335553	0.7890642
EPDC	0.36454925	0.30678958	0.07978885	0.0028923692	0.7222029	0.11988977	3.260157	0.20516911	0.097743385	1.0805097	0.06633947	0.034620456	0.0065924926	0.00041678405	2.1306581	0.09558161	2.1874664	0.0033342885	0.2697336	0.030805178	2.1678188	1.1099933	2.9266737	0.00025504132	0.0043888935	0.0024408149	1.1877522	0.001352389	0.010561712	0.06758148	1.9015721	1.3492304	0.019305222	1.3360537	1.5182931	0.77225524	1.1867536	2.0939884	1.8760542	1.2746565	0.73934317	1.2175372	4.595525e-05	0.38318378	0.928144	0.32011786	0.04166408	0.7682719	0.54022497	0.11971699	1.7152162	1.4799646	1.2755555	1.6157522	0.44654244	0.98321813	0.10790704	0.04514295	1.3314106	0.8117615
Epicardial	0.5564053	0.45297432	0.16686258	0.009537383	0.98283905	0.061833255	3.205301	0.3524601	0.17565075	1.0268394	0.16959402	0.07079999	0.011403151	0.0027218144	1.9245667	0.09215766	1.7965947	0.0046906816	0.48800617	0.098388806	1.7244902	1.3762673	2.8219934	0.00097359484	0.028631292	0.00849096	1.1488025	0.0020882916	0.050386466	0.11665136	1.829695	1.4370911	0.097685635	1.2831666	1.358788	0.7122043	1.4158708	1.9876226	1.8213508	1.1438972	0.62362427	1.2346998	0.0011974265	0.4243437	1.0201468	0.23096193	0.05088347	0.88938767	0.60112864	0.13761118	1.6344867	1.4490348	1.1876975	1.5250152	0.42038506	0.85370374	0.119897254	0.032548547	1.3314775	0.77992535
LEC	0.4721419	0.38367015	0.14745033	0.014795439	0.94157374	0.06215634	1.9540977	0.24810363	0.13091122	0.42306468	0.13585174	0.07190067	0.015722217	0.010855347	1.4178395	0.09335805	0.29277614	0.009195453	0.7561824	0.096854486	0.6970166	1.3887248	2.6564655	0.0030164511	0.1923638	0.016244829	0.35163242	0.00743972	0.38891342	0.08164254	1.6528461	0.7732818	0.1748127	1.5422084	1.2349674	0.56553763	1.5809081	1.4132644	2.0204008	0.74333924	0.14649844	1.0227877	0.0014616644	0.4849814	1.2836075	0.11764099	0.111428626	0.89968246	0.6650044	0.205543	1.7867835	1.758223	1.1471939	1.3898133	0.73483956	0.36731875	0.68360406	0.060326286	1.3166428	0.44907537
Neuronal	0.44725835	0.34906206	0.2060981	0.016404351	0.84553623	0.39569956	1.8732626	0.27302638	0.1269523	1.5404075	0.16128191	0.047073025	0.025385458	0.018325716	1.1610138	0.106928535	1.0140308	0.010009871	0.30220962	0.040566653	1.9003868	1.0973023	1.8493773	0.008712379	0.026506571	0.018747073	1.3576351	0.01942197	0.13909274	0.14083901	1.2049431	0.6942511	0.4976817	1.1440415	0.9426918	0.40651366	1.2578871	1.6129549	1.817885	1.0974748	0.3418696	0.8887289	0.0031398123	0.47163922	0.88029236	0.2159274	0.11134517	0.44763738	0.57144964	0.31194592	1.7954264	1.6513314	1.3800101	1.5755898	0.6170871	0.40531215	0.6121894	0.092546456	1.4251852	0.7439979
Pericyte	1.0840967	0.948424	0.6363287	0.3026356	1.5145571	0.33843383	3.1519156	0.67838687	0.45355672	1.1740239	0.46643633	0.33999816	0.25060257	0.2218046	1.3032972	0.315878	0.68862206	0.12690857	0.4164607	0.22581296	1.9114614	1.3892771	2.2715313	0.12120919	0.1930958	0.12604304	0.692992	0.12133083	0.11708083	0.22143422	1.154999	0.32228974	0.26715896	1.4682322	0.47601816	0.48590195	1.3411769	1.781718	1.6046957	1.6010431	0.53337145	0.6863474	0.090386964	0.5724924	0.5943525	0.60088235	0.16211669	0.60855067	0.75097704	0.27462077	1.7700301	1.4901323	1.3202792	1.6115063	0.7889755	0.4975659	0.45284548	0.05096912	1.231342	0.5509991
Proliferating vFibro	1.1905041	1.0522107	0.6172481	0.08719306	1.4176279	0.1245821	2.9887724	0.8013448	0.47204843	1.0998052	0.51510775	0.29999226	0.13282888	0.06492667	1.6352695	0.20435615	2.094002	0.035521023	0.35867602	0.2614108	1.8076164	1.6169341	2.5676303	0.032292813	0.11278601	0.060080122	1.2119612	0.034771368	0.044209078	0.14041123	1.6031106	1.1673082	0.11857914	1.2807133	1.163146	0.5770303	1.5588968	1.776528	1.6797752	1.1814079	0.70935506	0.97086746	0.032807466	0.7274446	0.77203995	0.301294	0.11343631	0.8755606	0.81895775	0.16575204	1.6234328	1.4272802	1.194714	1.5216658	0.50098324	0.8733947	0.23637986	0.03283014	1.2798296	0.7112321
Trabecular vFibro	0.9410545	0.8026091	0.40463966	0.03609291	1.1941795	0.11270561	3.1568868	0.5212529	0.3093949	1.0757631	0.33248237	0.18043119	0.046323642	0.020744888	1.803539	0.19913658	2.0750437	0.01293882	0.33061975	0.14347401	2.1133115	1.4944332	2.5269413	0.011253998	0.0663293	0.03428459	1.0320468	0.013517147	0.033609852	0.13236414	1.6523119	0.8636785	0.07474882	1.2908152	1.4017218	0.7980407	1.394476	1.8787975	1.7670971	1.260761	0.78308	1.0535971	0.009292763	0.54770184	0.72481406	0.44194445	0.09253269	0.7676471	0.72055215	0.15974037	1.6515163	1.470717	1.2461821	1.5468479	0.52879757	0.9548878	0.28145602	0.045798007	1.3036542	0.6734201
VEC	0.5367755	0.5255188	0.2008559	0.0051787114	0.72244287	0.06127386	2.209312	0.3202294	0.18762836	0.31730208	0.16354884	0.086680144	0.015244236	0.006298984	1.35057	0.21950963	0.750985	0.0031449448	0.64140105	0.063498765	1.2595248	1.4858283	1.5320209	0.0037697623	0.04605829	0.015748717	0.4436682	0.0072705117	0.053414933	0.067055896	1.7228075	0.20837735	0.06727756	1.3473214	0.63010824	0.75334	1.1448333	1.7849486	1.7311547	0.9902251	1.2044462	0.92239386	0.0067829853	0.45566908	0.34388378	0.13095927	0.15974833	0.59087336	0.58075047	0.16716371	1.8114375	1.6961197	1.3110431	1.4625509	0.88734823	0.9144882	0.7038042	0.09129722	1.4301245	0.4172539
