mapped_coarse_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
VCM	0.5933	0.9018	0.8928	0.9845	0.8676	0.9394	0.7833	0.3874	0.9691	0.9660	0.8666	0.9337	0.4457	0.0268	0.0451	0.0016	0.0287	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	0.1622	0.0585	0.0021	0.0028	0.1028	0.0003	0.0000	0.0000	0.0483	0.0860	0.0809
ACM	0.0061	0.0001	0.0007	0.0000	0.0028	0.0009	0.0124	0.0000	0.0002	0.0000	0.0004	0.0003	0.0000	0.8383	0.7793	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5108	0.3382
CoreConductionCells	0.0031	0.0002	0.0001	0.0000	0.0009	0.0012	0.0286	0.0000	0.0002	0.0000	0.0000	0.0005	0.1413	0.0110	0.0114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1774	0.0766
TzConductionCells	0.0153	0.0018	0.0019	0.0036	0.0064	0.0112	0.0228	0.0060	0.0002	0.0008	0.0000	0.0008	0.0543	0.0013	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0108	0.0145
FB	0.2110	0.0589	0.0164	0.0013	0.0340	0.0198	0.0540	0.3574	0.0029	0.0046	0.0365	0.0281	0.2283	0.0360	0.0375	0.9814	0.8877	0.8615	0.9444	0.9546	0.9937	0.9765	0.2054	0.1234	0.0466	0.3038	0.2208	0.1294	0.4825	0.8484	0.4543	0.0706	0.0753	0.1720
Endocardial	0.0000	0.0001	0.0000	0.0004	0.0037	0.0007	0.0013	0.0300	0.0000	0.0000	0.0037	0.0029	0.0000	0.0057	0.0080	0.0004	0.0008	0.0646	0.0232	0.0034	0.0000	0.0000	0.7035	0.6169	0.0028	0.0021	0.6667	0.0007	0.0121	0.0000	0.0000	0.0037	0.0000	0.0000
Endothelial	0.0092	0.0015	0.0025	0.0000	0.0000	0.0007	0.0026	0.0210	0.0086	0.0008	0.0066	0.0032	0.0000	0.0126	0.0200	0.0019	0.0084	0.0080	0.0148	0.0172	0.0000	0.0036	0.0603	0.0508	0.7030	0.4895	0.0667	0.0766	0.1272	0.0115	0.0200	0.0149	0.0161	0.0072
MuralCells	0.0031	0.0012	0.0005	0.0000	0.0018	0.0014	0.0020	0.0120	0.0027	0.0017	0.0021	0.0021	0.0109	0.0025	0.0047	0.0016	0.0042	0.0193	0.0017	0.0079	0.0027	0.0114	0.0064	0.0084	0.0206	0.0063	0.0042	0.6136	0.3343	0.0014	0.0057	0.0074	0.0054	0.0159
Epicardial	0.0183	0.0097	0.0082	0.0027	0.0322	0.0072	0.0501	0.0150	0.0040	0.0017	0.0168	0.0130	0.0217	0.0015	0.0030	0.0072	0.0456	0.0240	0.0008	0.0041	0.0018	0.0024	0.0026	0.0211	0.0469	0.1350	0.0056	0.0323	0.0144	0.1195	0.0000	0.0037	0.0000	0.0260
MyeloidCells	0.0214	0.0058	0.0138	0.0013	0.0083	0.0040	0.0065	0.0330	0.0030	0.0042	0.0111	0.0016	0.0435	0.0065	0.0096	0.0031	0.0068	0.0057	0.0076	0.0034	0.0000	0.0030	0.0058	0.0040	0.0667	0.0401	0.0194	0.0082	0.0048	0.0082	0.0143	0.8439	0.0161	0.0434
LymphoidCells	0.0489	0.0065	0.0245	0.0022	0.0221	0.0051	0.0195	0.0601	0.0025	0.0050	0.0168	0.0011	0.0217	0.0175	0.0456	0.0016	0.0144	0.0057	0.0013	0.0024	0.0000	0.0000	0.0039	0.0033	0.0215	0.0021	0.0042	0.0072	0.0033	0.0077	0.0000	0.0074	0.0645	0.1055
SympatheticNeuron	0.0245	0.0066	0.0231	0.0022	0.0083	0.0019	0.0033	0.0450	0.0036	0.0097	0.0263	0.0037	0.0000	0.0247	0.0138	0.0002	0.0025	0.0019	0.0025	0.0010	0.0009	0.0012	0.0026	0.0017	0.0105	0.0169	0.0069	0.0249	0.0119	0.0029	0.2600	0.0000	0.0215	0.0679
SchwannCells	0.0214	0.0052	0.0148	0.0018	0.0119	0.0063	0.0098	0.0270	0.0029	0.0046	0.0123	0.0077	0.0326	0.0114	0.0185	0.0008	0.0000	0.0028	0.0017	0.0021	0.0009	0.0006	0.0064	0.0057	0.0220	0.0000	0.0028	0.0041	0.0071	0.0000	0.0000	0.0000	0.0161	0.0260
NC	0.0245	0.0007	0.0007	0.0000	0.0000	0.0002	0.0039	0.0060	0.0002	0.0008	0.0008	0.0013	0.0000	0.0042	0.0009	0.0004	0.0008	0.0005	0.0021	0.0038	0.0000	0.0012	0.0026	0.0017	0.0008	0.0021	0.0000	0.0003	0.0023	0.0005	0.2457	0.0000	0.0000	0.0260
