mapped_coarse_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
VCM	194	18499	6738	2217	944	4030	1204	129	5086	2300	2111	3523	41	141	300	8	34	13	0	0	0	0	0	485	207	1	2	302	1	0	0	13	16	56
ACM	2	3	5	0	3	4	19	0	1	0	1	1	0	4406	5180	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	95	234
CoreConductionCells	1	4	1	0	1	5	44	0	1	0	0	2	13	58	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	53
TzConductionCells	5	36	14	8	7	48	35	2	1	2	0	3	5	7	17	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	10
FB	69	1208	124	3	37	85	83	119	15	11	89	106	21	189	249	5059	1051	1828	2240	2776	1110	1621	320	369	165	144	159	380	1911	1768	159	19	14	119
Endocardial	0	2	0	1	4	3	2	10	0	0	9	11	0	30	53	2	1	137	55	10	0	0	1096	1845	10	1	480	2	48	0	0	1	0	0
Endothelial	3	30	19	0	0	3	4	7	45	2	16	12	0	66	133	10	10	17	35	50	0	6	94	152	2488	232	48	225	504	24	7	4	3	5
MuralCells	1	25	4	0	2	6	3	4	14	4	5	8	1	13	31	8	5	41	4	23	3	19	10	25	73	3	3	1802	1324	3	2	2	1	11
Epicardial	6	198	62	6	35	31	77	5	21	4	41	49	2	8	20	37	54	51	2	12	2	4	4	63	166	64	4	95	57	249	0	1	0	18
MyeloidCells	7	118	104	3	9	17	10	11	16	10	27	6	4	34	64	16	8	12	18	10	0	5	9	12	236	19	14	24	19	17	5	227	3	30
LymphoidCells	16	134	185	5	24	22	30	20	13	12	41	4	2	92	303	8	17	12	3	7	0	0	6	10	76	1	3	21	13	16	0	2	12	73
SympatheticNeuron	8	136	174	5	9	8	5	15	19	23	64	14	0	130	92	1	3	4	6	3	1	2	4	5	37	8	5	73	47	6	91	0	4	47
SchwannCells	7	107	112	4	13	27	15	9	15	11	30	29	3	60	123	4	0	6	4	6	1	1	10	17	78	0	2	12	28	0	0	0	3	18
NC	8	14	5	0	0	1	6	2	1	2	2	5	0	22	6	2	1	1	5	11	0	2	4	5	3	1	0	1	9	1	86	0	0	18
