mapped_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
AV_bundle_Tz	0.0306	0.0004	0.0000	0.0000	0.0018	0.0016	0.0039	0.0120	0.0000	0.0000	0.0000	0.0005	0.0435	0.0002	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0000
VCM_AV_valve	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VCM_cellcycle	0.5015	0.3267	0.7098	0.2416	0.7454	0.3704	0.3598	0.3483	0.2372	0.3910	0.7611	0.3273	0.3043	0.0223	0.0323	0.0017	0.0287	0.0057	0.0000	0.0000	0.0000	0.0000	0.0000	0.1137	0.0568	0.0021	0.0014	0.0688	0.0003	0.0000	0.0000	0.0260	0.0860	0.0795
VCM_left_compact_1	0.0000	0.0339	0.0057	0.0298	0.0028	0.0068	0.0039	0.0000	0.0061	0.0008	0.0016	0.0050	0.0000	0.0008	0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014
VCM_left_compact_2	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0006	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VCM_left_hybrid	0.0428	0.1026	0.0400	0.2016	0.0744	0.3021	0.2134	0.0300	0.0676	0.0458	0.0127	0.0785	0.0870	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0254	0.0011	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0037	0.0000	0.0000
VCM_left_trabecular_1	0.0275	0.4165	0.1289	0.4831	0.0331	0.1909	0.0969	0.0060	0.6244	0.4927	0.0850	0.4890	0.0435	0.0065	0.0096	0.0000	0.0008	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0114	0.0028	0.0000	0.0000	0.0262	0.0000	0.0000	0.0000	0.0149	0.0054	0.0116
VCM_left_trabecular_2	0.0092	0.0137	0.0109	0.0138	0.0083	0.0219	0.0514	0.0000	0.0200	0.0269	0.0062	0.0148	0.0217	0.0004	0.0017	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	0.0054	0.0000	0.0014	0.0044	0.0000	0.0000	0.0000	0.0037	0.0000	0.0058
VCM_left_trabecular_3	0.0000	0.0005	0.0008	0.0018	0.0000	0.0014	0.0052	0.0000	0.0002	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VCM_right_compact	0.0000	0.0049	0.0009	0.0040	0.0000	0.0021	0.0013	0.0030	0.0099	0.0067	0.0049	0.0143	0.0000	0.0006	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
