mapped_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
AV_bundle_Tz	10	8	0	0	2	7	6	4	0	0	0	2	4	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
VCM_AV_valve	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCM_cellcycle	164	6702	5357	544	811	1589	553	116	1245	931	1854	1235	28	117	215	9	34	12	0	0	0	0	0	340	201	1	1	202	1	0	0	7	16	55
VCM_left_compact_1	0	696	43	67	3	29	6	0	32	2	4	19	0	4	16	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1
VCM_left_compact_2	0	2	1	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCM_left_hybrid	14	2104	302	454	81	1296	328	10	355	109	31	296	8	0	8	0	0	0	0	0	0	0	0	76	4	0	0	7	0	0	0	1	0	0
VCM_left_trabecular_1	9	8544	973	1088	36	819	149	2	3277	1173	207	1845	4	34	64	0	1	1	0	0	0	0	0	34	10	0	0	77	0	0	0	4	1	8
VCM_left_trabecular_2	3	281	82	31	9	94	79	0	105	64	15	56	2	2	11	0	0	1	0	0	0	0	0	17	19	0	1	13	0	0	0	1	0	4
VCM_left_trabecular_3	0	10	6	4	0	6	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VCM_right_compact	0	100	7	9	0	9	2	1	52	16	12	54	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VCM_right_trabecular	0	7	0	1	1	2	4	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCM_transition_2	0	28	6	22	11	205	75	0	1	1	2	11	1	2	7	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
VCM_transition_3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACM_cellcycle	2	5	3	0	2	4	9	0	4	0	0	3	0	1151	2145	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	70	144
ACM_left_compact	0	0	0	0	0	0	0	0	0	0	0	0	0	1206	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9
ACM_left_hybrid	0	1	0	0	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ACM_left_trabecular_1	0	0	0	0	0	1	0	0	0	0	0	0	0	1866	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23
ACM_left_trabecular_2	0	1	2	0	0	0	0	0	0	0	1	0	0	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ACM_right_compact_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACM_right_compact_2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACM_right_compact_3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACM_right_trabecular_1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACM_right_trabecular_2	2	1	1	0	2	8	17	0	1	0	0	1	0	78	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	33
AV_Tz_2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AV_Tz_3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AV_bundle	1	1	0	0	2	5	41	0	0	0	1	0	8	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
AV_node	1	2	0	0	0	2	6	0	0	0	0	2	4	50	69	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	11
PF_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF_3	0	0	0	0	0	1	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SAN_head	1	0	0	0	0	3	3	0	0	0	0	0	0	32	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31
SAN_tail	0	2	2	0	0	1	1	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
AV_Tz_1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAN_Tz	0	0	0	0	0	0	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	9
VCM_transition_1	0	37	15	5	1	9	13	2	1	2	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CFB_DMP_1	13	354	37	1	7	32	23	22	8	5	26	36	2	51	67	174	67	98	246	572	951	313	111	87	45	97	29	23	661	365	53	8	2	78
CFB_DMP_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1
CFB_DMP_3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_OFT_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CFB_atrium	7	42	7	0	4	15	6	13	2	1	9	7	4	25	58	82	60	731	610	879	120	229	141	81	70	3	63	176	1098	134	14	1	1	16
CFB_mature	0	225	15	1	1	5	4	6	2	2	7	4	1	36	20	4151	520	578	269	828	7	623	30	16	39	20	9	75	17	952	54	7	0	2
CFB_progenitors	1	31	0	0	2	5	10	8	0	0	0	6	1	18	18	76	11	71	234	309	26	393	19	20	2	10	8	4	24	262	7	1	0	7
FB_cellcycle	30	488	52	2	8	11	26	32	5	1	35	42	7	41	47	541	365	291	144	125	4	23	6	89	24	7	12	88	42	45	10	2	9	9
VIC_NC_derived_mescenchyme	3	3	0	0	1	1	2	5	0	0	0	0	0	2	6	8	2	15	341	25	0	23	6	16	1	0	8	1	8	2	0	0	0	1
VIC_free_segments_1	7	6	0	0	5	11	7	22	0	0	1	3	5	3	6	0	1	7	258	3	0	0	1	24	1	1	16	3	3	0	0	0	1	0
VIC_free_segments_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	6	31	3	0	5	2	2	0	0	1	0	4	1	0	0	0	1
VIC_free_segments_3	2	0	0	0	1	1	3	5	0	1	0	1	0	1	5	1	0	12	67	7	1	1	1	13	0	0	5	0	15	0	1	0	0	0
VIC_valve_roots	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
Endocardial_AtrialEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	14	0	0	0	0	2	0	0	0	0	0
Endocardial_AtrialSeptumEC_endocardial	0	0	0	1	0	2	0	1	0	0	0	5	0	17	26	1	0	0	1	2	0	0	18	58	0	0	6	1	4	0	0	0	0	0
Endocardial_IFT_VEC	0	0	0	0	0	0	0	2	0	0	0	0	0	2	5	0	0	6	23	1	0	1	44	38	0	0	72	0	2	0	0	0	0	0
Endocardial_OFT_VEC	1	1	0	0	2	1	2	9	0	0	5	7	0	9	9	1	1	43	23	2	0	0	131	475	2	1	264	0	4	0	0	0	0	0
Endocardial_VentricularEC_1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	26	60	1	0	6	0	1	0	0	0	0	0
Endocardial_VentricularEC_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	21	30	0	0	11	0	1	0	0	0	0	0
Endocardial_VentricularEC_3	0	2	0	0	0	0	0	1	1	0	1	2	0	9	15	1	0	86	16	8	0	0	836	1071	9	0	130	3	38	0	0	0	0	0
Endothelial_cellcycle_2	0	0	0	0	1	0	0	2	0	0	6	3	0	4	7	0	1	5	3	2	0	0	11	186	3	0	4	0	10	0	0	0	0	0
Endothelial_AorticEC_endothelial	0	1	0	0	0	1	0	0	2	0	0	2	0	5	11	1	0	2	2	8	0	0	25	4	34	1	9	23	85	3	1	0	0	0
Endothelial_ArtEC_mature	0	3	1	0	0	0	0	3	6	1	1	6	0	2	29	0	2	2	4	10	0	0	28	14	111	2	10	20	228	9	0	0	0	0
Endothelial_ArtEC_preArtery_1	0	1	0	0	0	0	1	0	1	1	0	0	0	4	11	0	2	1	3	3	0	0	4	16	163	0	4	17	33	2	0	0	0	2
Endothelial_ArtEC_preArtery_2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	103	1	1	5	3	1	0	0	0	0
Endothelial_CapEC_SV	0	1	1	0	0	0	0	0	3	0	2	0	0	3	2	1	2	1	2	0	0	0	3	0	155	4	1	9	2	2	0	0	0	0
Endothelial_CapEC_endo	0	6	6	0	0	0	1	0	4	1	0	0	0	10	21	5	3	4	5	7	0	4	11	5	1050	5	5	50	19	6	2	2	0	2
Endothelial_LiverSinusoidalEC	1	4	0	0	0	1	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	28	0	1	3	0	0	0	0	0	0
Endothelial_LymphaticEC	1	4	2	0	0	0	0	0	0	0	1	0	0	9	12	0	0	0	0	5	0	0	2	4	45	201	0	1	1	0	0	1	1	0
Endothelial_LymphaticEC_cellcycle	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	0	0	0
