trait	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
Atrial_septal_defect	0.3983	0.1977	0.1801	0.1697	0.1696	0.3696	0.2333	0.2346	0.2176	0.3808	0.2004	0.1159	0.7946	-0.1780	-0.0917	0.4013	0.1886	0.1328	0.4200	0.5844	0.7438	0.9054	-0.3104	-0.0286	-0.3262	-0.0022	-0.2964	-0.3293	0.5931	-0.3005	-0.3092	0.0445	-0.3167	0.4569
Atrioventricular_septal_defect	0.1273	0.3282	0.5257	0.3942	0.1138	0.5912	0.4128	0.3648	0.5595	0.8656	0.6250	0.5129	-0.5183	-0.1134	-0.0774	0.9111	0.5337	0.4877	0.0626	0.8756	1.1603	-0.1113	-0.5212	-0.7570	-0.4488	-0.6445	-0.3881	-0.2216	0.4261	-0.5599	-0.6330	-0.8122	-0.4982	0.9506
DilatedCardiomyopathy	-1.4711	-1.3890	-1.4647	-1.4163	-1.4414	-1.3606	-1.4147	-1.3760	-1.4585	-1.5727	-1.5160	-1.4310	-1.5707	1.2803	1.0769	-1.5244	-1.4684	-1.4808	0.0928	-1.6182	-1.0118	-0.3516	1.4552	1.5885	1.4412	1.5447	1.4439	1.4396	-1.4919	1.5362	1.5697	1.6483	1.5318	-1.5024
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	0.7357	1.3670	1.1034	1.2912	1.0524	0.3611	1.4534	1.2680	1.0624	0.1163	0.8817	1.5834	0.4990	-0.8750	-0.1078	0.1639	1.1357	1.3535	-1.8531	0.2393	-1.4047	-1.8069	-1.0451	-1.4454	-0.9529	-1.4884	-1.0139	-0.8174	0.0654	-0.9500	-1.0007	-1.6116	-0.9743	0.0041
HypertrophicCardiomyopathy	-2.0902	-2.1105	-2.1422	-2.1154	-2.0582	-2.1759	-1.9980	-2.1656	-2.1598	-2.1107	-2.1405	-1.9429	-1.8757	2.1797	2.1916	-2.1449	-2.1267	-2.0324	0.3171	-2.0139	-1.4416	-1.2041	2.1736	1.8530	2.2066	1.8051	2.1807	2.1445	-2.1014	2.1463	2.1022	1.6634	2.1483	-2.1111
Malformation_of_the_outflow_tract	0.2714	0.4403	0.5285	0.4689	0.5836	0.4659	0.1957	0.4177	0.5215	0.5364	0.5655	0.3130	0.2495	-0.6686	-1.2049	0.4336	0.5363	0.4777	-0.6300	0.1481	0.4962	0.6810	-0.4043	-0.3443	-0.4223	-0.3265	-0.3920	-0.5075	0.5048	-0.4053	-0.3662	-0.3015	-0.3824	0.4988
PCGC_DeNovoVariants	0.8711	0.4414	0.3416	0.4583	0.8491	0.9823	0.6279	0.4134	0.3608	0.2961	0.2264	0.3164	0.8948	-0.6650	-0.9420	0.3232	0.2942	0.2895	-1.2914	0.2167	-0.5872	-0.2760	-0.3694	-0.3541	-0.4483	-0.7076	-0.5937	-0.8989	0.5584	-0.3171	-0.2936	-0.2591	-0.3947	0.3170
Single_ventricle_disease	-0.1707	0.1380	0.3046	0.2056	-0.1810	-0.2708	-0.1240	0.2002	0.2417	0.3299	0.5353	-0.0172	0.1225	0.3128	0.2415	0.2520	0.2865	0.0636	1.2589	0.1079	0.7604	0.0148	-0.1352	-0.1937	-0.1226	-0.0220	-0.1069	0.0178	-0.0995	-0.2797	-0.2840	-0.2046	-0.2684	0.1130
Valve_defects	0.6029	0.3961	0.4796	0.4265	0.3408	0.5666	0.4360	0.4411	0.4759	0.6456	0.4856	0.4237	0.7303	-0.6728	-0.6519	0.6074	0.4861	0.4591	0.4179	0.6471	0.5182	0.5840	-0.5301	-0.3137	-0.5479	-0.3074	-0.5354	-0.6317	0.6128	-0.4871	-0.4621	-0.2313	-0.4897	0.6614
Ventricular_septal_defect	0.7253	0.1907	0.1435	0.1173	0.5713	0.4705	0.1775	0.2018	0.1789	0.5126	0.1366	0.1259	0.6740	-0.5999	-0.4345	0.5768	0.1339	0.2493	1.2052	0.8130	0.7665	1.5647	-0.3132	-0.0047	-0.3788	0.1489	-0.2983	-0.1954	0.9322	-0.3829	-0.3233	0.0642	-0.3558	0.6116
