celltype	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
BEC	-0.0106	-0.0955	-0.5963	0.0951	-0.7902	-0.0504	0.1375	-0.1889	0.0535	0.0918
Compact vFibro	-0.0585	-0.0126	-0.6164	0.3526	-0.8701	0.0268	0.0271	-0.0795	0.0112	-0.0610
EPDC	-0.0319	0.1082	-0.6984	0.3423	-0.9730	0.1093	0.0336	0.0186	0.0895	-0.0467
Epicardial	-0.0893	-0.0055	-0.6807	0.3290	-0.9415	0.0223	0.0183	-0.0759	0.0065	-0.1088
LEC	-0.0004	-0.0231	-0.6577	0.3598	-0.9093	0.1685	0.2769	-0.1434	0.0695	0.1635
Neuronal	-0.0046	0.0747	-0.6233	-0.0076	-0.9148	0.0298	0.2145	-0.2336	0.0659	0.0315
Pericyte	-0.0260	0.0263	-0.5059	0.3293	-0.6758	-0.0370	0.0889	-0.1301	0.0330	-0.0422
Proliferating vFibro	0.0006	0.0429	-0.5233	0.3368	-0.7802	0.0602	0.0588	-0.0106	0.0678	-0.0101
Trabecular vFibro	0.0211	0.1474	-0.5980	0.3332	-0.8571	0.1333	0.0740	0.0300	0.1165	0.0068
VEC	0.1973	0.4147	-0.6787	0.0787	-0.9200	0.2671	0.1594	0.1745	0.3160	0.2564
VIC	0.0706	0.2506	-0.6573	0.3595	-0.9221	0.2254	0.0816	0.2126	0.1915	0.0435
VSMC	0.0733	0.2533	-0.6280	0.7387	-0.8601	0.1627	0.1643	0.0130	0.2129	0.0779
WBC	-0.0812	-0.5110	-0.8555	-0.1780	-0.9553	-0.2597	-0.0484	-0.3013	-0.1023	-0.1207
aCM-LA	0.0411	0.0493	0.2259	-0.0472	0.3399	-0.0210	-0.0206	0.1033	-0.0216	-0.0123
aCM-RA	0.0718	0.0729	0.1587	0.0706	0.2417	-0.0110	0.0086	0.0966	0.0301	0.0463
aEndocardial	0.2210	0.4545	-0.6612	0.1122	-0.9455	0.2358	0.1852	0.1526	0.3154	0.3014
aFibro	-0.0173	0.1223	-0.6877	0.3659	-0.9541	0.1234	0.0254	0.0223	0.1030	-0.0394
adFibro	-0.0360	0.1223	-0.7561	0.5087	-1.0022	0.1179	0.0339	-0.0669	0.1096	0.0160
ncCM-AVC-like	0.1504	0.1246	0.1268	-0.0136	0.1430	0.0746	0.0269	0.2110	0.1503	0.2071
ncCM-IFT-like	0.0296	0.0621	-0.2166	-0.0090	-0.2608	-0.0192	-0.0115	-0.0237	0.0366	0.0551
vCM-IVS-His	0.0360	0.0807	-0.1527	-0.1949	-0.1989	0.0094	-0.1071	0.0377	0.0117	0.0384
vCM-LV-AV	0.0685	0.0033	-0.0121	-0.1055	-0.0668	0.0541	-0.0073	0.0114	0.0479	0.1108
vCM-LV-Compact I	-0.0680	-0.1169	0.3423	-0.2387	0.5093	-0.0898	-0.0817	-0.0272	-0.1190	-0.0686
vCM-LV-Compact II	0.0339	-0.1035	0.3389	-0.2334	0.3888	-0.0257	-0.0275	0.0027	-0.0199	0.0384
vCM-LV-Hybrid	-0.0536	-0.0904	0.4776	-0.2419	0.7076	-0.0825	-0.0903	0.0076	-0.1202	-0.0694
vCM-LV-Trabecular I	0.0770	-0.0086	0.2833	-0.1212	0.3181	0.0338	-0.0170	0.0744	0.0363	0.0972
vCM-LV-Trabecular II	-0.0159	-0.0380	0.4044	-0.1892	0.5824	-0.0390	-0.0877	0.0299	-0.0736	-0.0163
vCM-LV/RV-Purkinje	-0.0730	-0.0587	0.1620	-0.1379	0.2556	-0.0967	-0.1487	-0.0269	-0.1132	-0.0552
vCM-RV-AV	0.0957	0.0686	-0.2422	0.0102	-0.3409	0.0814	0.0900	-0.0165	0.0989	0.1506
vCM-RV-Compact	-0.0551	-0.1408	0.5518	-0.2697	0.7533	-0.0897	-0.0606	-0.0482	-0.1168	-0.0823
vCM-RV-Hybrid	-0.1066	-0.2081	0.4824	-0.3233	0.6493	-0.1244	-0.1017	-0.0987	-0.1545	-0.1110
vCM-RV-Proliferating	0.0742	-0.0598	0.3250	-0.1849	0.3274	0.0201	0.0267	0.0352	0.0310	0.0773
vCM-RV-Trabecular	-0.0118	-0.0602	0.4808	-0.1870	0.6451	-0.0293	-0.0326	0.0011	-0.0579	-0.0222
vEndocardial	0.2480	0.4120	-0.4026	0.0977	-0.6048	0.2619	0.2016	0.1338	0.3159	0.2994
