cell_id	x	y	celltype	valve	score__Valve_defects	z__Valve_defects	score__Atrioventricular_septal_defect	z__Atrioventricular_septal_defect	score__Atrial_septal_defect	z__Atrial_septal_defect	score__Ventricular_septal_defect	z__Ventricular_septal_defect	score__Malformation_of_the_outflow_tract	z__Malformation_of_the_outflow_tract	score__HypertrophicCardiomyopathy	z__HypertrophicCardiomyopathy	score__DilatedCardiomyopathy	z__DilatedCardiomyopathy	score__PCGC_DeNovoVariants	z__PCGC_DeNovoVariants	score__Single_ventricle_disease	z__Single_ventricle_disease	score__Familial_thoracic_aortic_aneurysm_and_aortic_dissection	z__Familial_thoracic_aortic_aneurysm_and_aortic_dissection
ATR_000_set19__104	15355.114999584557	22250.15187461905	aEndocardial	False	0.36892796	-0.45659682	0.3718275	-0.7304928	0.41979972	-0.74120194	0.38877055	-0.44164523	0.33811826	-1.3284016	0.092463	-0.6277897	0.22618906	-0.34534538	0.43002534	0.045030516	0.22639932	-2.9803658	0.65687674	0.35279864
ATR_000_set19__114	15507.59494703266	22252.842641099607	aCM-RA	False	0.35617417	-0.62066156	0.43965614	0.046779044	0.47374642	0.058207616	0.39728817	-0.3186627	0.4201407	-0.15973727	0.97662073	1.982719	0.7715144	1.9056984	0.40939552	-0.32374927	0.5534108	0.4463862	0.42525864	-0.4695221
ATR_000_set19__157	15379.670173318182	22204.23477394937	aCM-RA	False	0.5055661	1.3011168	0.4563876	0.23851079	0.5178139	0.7112222	0.44249463	0.3340551	0.5322713	1.437911	0.18869226	-0.34366924	0.26221278	-0.19664338	0.477616	0.8957639	0.65294933	1.4894496	0.77866524	0.785188
ATR_000_set19__178	15500.607822716322	22189.16061077763	aFibro	False	0.39160806	-0.16483991	0.41112486	-0.28017086	0.4186247	-0.7586139	0.3028767	-1.6818317	0.4647882	0.4764046	0.034530297	-0.7988382	0.11270413	-0.81379884	0.44022515	0.22736295	0.5435067	0.34260067	0.870765	1.1121725
ATR_000_set19__181	15469.014328995268	22302.686003725616	aCM-RA	False	0.41963205	0.19566074	0.47571847	0.46002984	0.5466921	1.1391532	0.4845791	0.9416956	0.44636437	0.21390009	1.4592568	3.4077199	1.189398	3.6306767	0.447641	0.35992873	0.5707612	0.62820065	0.58333004	0.09168355
ATR_000_set19__184	15409.825925975962	22198.41962156484	aEndocardial	False	0.438837	0.4427132	0.54360247	1.2379361	0.4659651	-0.05710002	0.4172147	-0.030951746	0.41129673	-0.28574732	0.10029481	-0.604666	0.17331018	-0.56362367	0.4322049	0.083992496	0.44188228	-0.72232085	0.66975003	0.39850307
ATR_000_set19__221	15491.308121170085	22309.286792407045	aCM-RA	False	0.44028416	0.4613296	0.4121865	-0.26800507	0.5407903	1.0516981	0.5305307	1.6051723	0.47414792	0.60976285	1.0858214	2.305138	0.90192467	2.444018	0.46215063	0.61930394	0.5558346	0.47178477	0.3267459	-0.81927484
ATR_000_set19__35	15510.078501845304	22185.276983064683	aEndocardial	False	0.4306452	0.33733395	0.47647065	0.46864933	0.46224836	-0.11217651	0.41734734	-0.029036464	0.4091786	-0.31592637	0.057740707	-0.7303086	0.14845735	-0.66621345	0.43749458	0.17855099	0.41616434	-0.991819	0.5712903	0.048938565
ATR_000_set19__69	15461.453221059055	22210.413876967672	aCM-RA	False	0.42208835	0.2272587	0.47577953	0.4607296	0.53820205	1.0133437	0.48450896	0.94068307	0.4517848	0.29113072	1.2914532	2.9122736	1.0920099	3.228669	0.44728556	0.35357517	0.57041776	0.6246017	0.5929154	0.12571481
ATR_000_set19__99	15379.748363118533	22276.455274899738	aFibro	False	0.4389953	0.44474968	0.49196434	0.6461969	0.45162317	-0.26962584	0.32707787	-1.332401	0.47814697	0.6667417	0.044608966	-0.7690806	0.118999004	-0.7878143	0.39358252	-0.6064232	0.4546519	-0.5885082	0.9735399	1.4770573
ATR_003_set19__169	15229.957591215029	21472.957042919716	aFibro	False	0.3718671	-0.41878778	0.37913272	-0.6467799	0.40774554	-0.9198268	0.2969106	-1.7679738	0.4448574	0.19242842	0.07070666	-0.6920261	0.17273709	-0.5659893	0.40558684	-0.3918334	0.4809152	-0.31329522	0.81429017	0.91166824
ATR_003_set19__210	15389.512520110977	21283.946757882866	aCM-RA	False	0.4267289	0.28695473	0.49910623	0.7280383	0.5388313	1.0226682	0.46737698	0.6933212	0.4580019	0.3797129	1.1610906	2.527373	0.9753337	2.7470422	0.46116677	0.60171634	0.5958751	0.89136887	0.61239076	0.1948587
ATR_003_set19__222	15311.39618406628	21401.07079167194	aCM-RA	False	0.39499164	-0.121313564	0.5142654	0.90175277	0.52244127	0.77979255	0.4349497	0.22511683	0.44446766	0.18687558	1.0627903	2.2371378	0.8586587	2.2654204	0.4422231	0.26307836	0.60748345	1.0130129	0.4881879	-0.24610241
ATR_003_set19__261	15445.222971943225	21329.375994291957	aEndocardial	False	0.49996424	1.2290542	0.579787	1.6525875	0.5392769	1.0292714	0.4832754	0.92287236	0.45093045	0.27895796	0.20764343	-0.28771517	0.26911244	-0.16816235	0.4869288	1.0622396	0.47599533	-0.36485037	0.64983827	0.32780972
