section	n_total	n_VIC	n_VEC	n_AVClike	n_valve	frac_valve	log2_enrich
16	2337	367	67	6	440	0.188275566966196	2.5219580300791873
17	2739	305	52	20	377	0.1376414749908726	2.070027497900639
15	1815	195	24	5	224	0.12341597796143251	1.9126414245118442
13	2064	206	29	14	249	0.12063953488372094	1.87981501198218
14	2110	213	25	14	252	0.11943127962085308	1.865292975242722
18	2879	242	59	41	342	0.11879124696075026	1.8575407766598164
19	2939	196	54	35	285	0.09697175910173528	1.5647488007381245
12	2264	149	42	2	193	0.08524734982332155	1.3788391297735512
11	2082	128	34	2	164	0.0787704130643612	1.2648379866560198
20	2963	135	49	27	211	0.07121160985487682	1.119296613083256
21	2567	105	41	5	151	0.058823529411764705	0.8435774940870137
10	1929	55	18	0	73	0.03784344219803007	0.2072274661682669
22	2770	36	34	5	75	0.02707581227436823	-0.2758112351033168
4	914	6	8	0	14	0.015317286652078774	-1.0976550976631125
23	2702	12	18	6	36	0.013323464100666173	-1.2988466225460191
2	973	1	11	0	12	0.012332990750256937	-1.4102931587226024
24	2868	2	22	3	27	0.009414225941422594	-1.7999014712010832
5	942	1	7	0	8	0.008492569002123142	-1.9485429142754302
9	1419	7	4	1	12	0.008456659619450317	-1.9546560380020421
3	764	2	4	0	6	0.007853403141361256	-2.0614259919772393
1	793	0	6	0	6	0.007566204287515763	-2.115174219645469
25	2821	0	15	0	15	0.005317263381779511	-2.6240600196396997
28	2912	1	13	0	14	0.004807692307692308	-2.769399382803739
26	2747	0	12	0	12	0.004368401892974154	-2.907638359017347
8	1436	4	2	0	6	0.004178272980501393	-2.971837197764542
45	1230	0	4	0	4	0.0032520325203252032	-3.333402264889249
27	2810	0	9	0	9	0.003202846975088968	-3.355389078328623
37	2243	0	7	0	7	0.003120820329915292	-3.3928186476913154
34	2308	0	7	0	7	0.0030329289428076256	-3.4340322512505255
6	1066	0	3	0	3	0.0028142589118198874	-3.5419888867006666
32	2636	0	7	0	7	0.002655538694992413	-3.6257393976130947
35	2438	0	6	0	6	0.002461033634126333	-3.735479574561703
48	1021	1	1	0	2	0.0019588638589618022	-4.064726815540449
51	547	0	1	0	1	0.0018281535648994515	-4.164356687455204
41	1718	0	3	0	3	0.0017462165308498253	-4.230511485079955
43	1149	1	1	0	2	0.0017406440382941688	-4.23512274730876
39	1962	0	3	0	3	0.0015290519877675841	-4.422106490160729
31	2762	0	4	0	4	0.001448225923244026	-4.500457268920698
38	2148	0	3	0	3	0.0013966480446927375	-4.5527754419269035
33	2573	0	3	0	3	0.001165954139137194	-4.8132329056752905
40	2004	1	1	0	2	0.000998003992015968	-5.037626457857855
47	1100	0	1	0	1	0.0009090909090909091	-5.172247473074669
44	1315	1	0	0	1	0.0007604562737642585	-5.429806748842312
42	1435	0	1	0	1	0.0006968641114982578	-5.555794686225697
30	2879	0	2	0	2	0.0006946856547412296	-5.560311738226082
29	2954	0	2	0	2	0.0006770480704129993	-5.5974137754274365
36	2328	0	1	0	1	0.000429553264604811	-6.253835007570931
50	716	0	0	0	0	0.0	-inf
52	458	0	0	0	0	0.0	-inf
7	1312	0	0	0	0	0.0	-inf
49	882	0	0	0	0	0.0	-inf
46	1092	0	0	0	0	0.0	-inf
53	165	0	0	0	0	0.0	-inf
