	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
ATR_000_set19__104	-0.1475	-0.1442	-0.6475	-0.0604	-0.9961	-0.2537	-0.0924	-0.6827	-0.2577	0.1099
ATR_000_set19__114	-0.1296	-0.0345	-0.0681	-0.1857	0.2492	-0.1033	-0.0966	0.0248	-0.1942	-0.1814
ATR_000_set19__157	0.2556	0.0924	-0.5429	0.2181	-0.8721	0.3607	0.1707	0.8268	0.3034	0.2379
ATR_000_set19__178	-0.2785	-0.2193	-1.0029	0.3982	-1.1853	-0.0867	-0.1549	0.0021	-0.1994	-0.3457
ATR_000_set19__181	0.2217	0.1896	0.6462	0.5047	0.9656	0.1554	0.0593	0.2481	0.1361	0.1990
ATR_000_set19__184	0.1274	0.4609	-0.6931	0.0618	-0.9814	0.0741	0.0697	-0.1006	0.1895	0.2263
ATR_000_set19__221	0.3340	-0.1810	0.3902	-0.0849	0.3069	0.1767	0.2119	0.1203	0.3727	0.3694
ATR_000_set19__35	0.1429	0.2214	-0.7200	-0.3270	-1.0377	0.1092	0.1794	-0.0253	0.1462	0.3853
ATR_000_set19__69	0.2449	0.1883	0.6068	0.4261	0.6856	0.1050	0.0754	0.2691	0.1983	0.1456
ATR_000_set19__99	-0.1605	0.0334	-0.9872	0.4446	-1.1173	-0.0948	-0.3306	-0.1182	-0.1166	-0.3988
ATR_001_set15__101	-0.3395	-0.0150	-0.8415	0.2966	-1.0405	-0.1084	-0.0875	-0.4187	-0.1987	-0.3427
ATR_001_set15__173	-0.0608	0.0921	-0.7200	0.5953	-1.0578	0.2144	0.0343	-0.1284	0.1201	-0.0286
ATR_001_set15__174	-0.0028	0.1803	-0.6791	0.6639	-1.0360	0.2388	0.0734	0.0316	0.2064	0.1752
ATR_001_set15__201	0.2858	0.3484	-0.6005	0.9277	-0.9063	0.3587	0.3965	0.0882	0.4633	0.2400
ATR_001_set15__211	0.2161	0.3383	-0.6033	0.9598	-1.0320	0.3197	0.0949	0.2790	0.4375	0.4552
ATR_001_set15__226	-0.2673	0.2354	-0.8302	0.2497	-0.9977	0.0362	-0.4216	-0.0921	0.1142	-0.2956
ATR_001_set15__240	-0.0985	-0.0341	-0.6550	1.4611	-0.5640	-0.1426	-0.0683	-0.3286	-0.0804	0.0228
ATR_001_set15__282	0.1521	0.0800	-0.5149	1.1869	-0.7330	0.1677	0.3519	0.4951	0.1652	-0.1022
ATR_001_set15__326	0.0720	0.3097	-0.7601	1.0314	-0.8910	0.1480	0.1613	0.0301	0.2208	0.1461
ATR_001_set15__355	-0.1424	-0.0285	-0.6836	0.4612	-1.0306	-0.0580	-0.1022	-0.1049	-0.0851	-0.1020
ATR_001_set15__382	-0.3088	-0.3581	-0.8744	0.1281	-1.0894	-0.1011	-0.2159	-0.1237	-0.2038	-0.4066
ATR_001_set15__84	0.0011	0.1240	-0.7675	0.3851	-1.0450	0.0835	0.0283	-0.3065	0.0988	0.0545
ATR_001_set17__132	0.2127	0.1631	-0.7416	0.5198	-0.9016	0.0881	0.1607	0.1061	0.2830	0.0817
ATR_001_set17__274	0.1684	0.2861	-0.6363	0.7585	-0.8773	0.4204	0.0922	0.2399	0.2359	0.2644
ATR_001_set17__431	0.2787	0.7576	-0.4036	1.8883	-0.5918	0.4611	0.5698	0.1581	0.5134	0.1826
ATR_001_set17__460	-0.2313	-0.1450	-0.5620	0.7029	-0.7239	0.0415	0.1002	-0.4475	-0.2297	-0.1488
ATR_001_set17__511	0.1184	0.1503	-0.6847	0.6961	-0.9708	0.1331	0.1103	-0.0148	0.1485	0.0011
ATR_001_set17__588	-0.5703	-0.5563	-0.1264	-0.5214	-1.0493	0.0256	-0.0487	-0.7409	-0.7036	-0.2796
ATR_001_set17__616	0.0677	0.3139	-0.5305	1.1572	-0.7496	0.2342	0.1513	-0.1644	0.3214	0.1260
ATR_001_set17__76	0.4193	0.6522	-0.4165	1.0084	-0.6461	0.4526	0.4805	0.3434	0.5136	0.5371
ATR_001_set18__120	0.3644	0.3167	0.6130	0.9250	0.4745	0.2782	0.1497	0.2404	0.2895	0.3624
ATR_001_set18__17	0.3669	0.4704	0.3122	0.2419	0.4522	0.2489	0.2843	0.4809	0.3212	0.3251
ATR_001_set18__195	0.4440	0.4305	-0.6526	0.5373	-0.8869	0.4961	0.4293	0.3458	0.4385	0.8863
ATR_001_set18__247	0.3146	0.2625	0.4591	0.2908	0.4525	0.1952	0.2458	0.2609	0.2603	0.2989
ATR_001_set18__281	0.3083	0.4084	0.3417	0.0462	0.5500	0.2013	0.2373	0.5238	0.2434	0.3000
ATR_001_set18__31	0.3971	0.4808	0.4107	0.2541	0.5693	0.2468	0.3146	0.5199	0.3052	0.2820
ATR_001_set18__385	-0.1890	-0.0456	-0.0394	-0.3757	0.1893	-0.1696	-0.0974	0.1399	-0.2675	-0.1922
ATR_001_set18__404	0.2922	0.4286	0.2409	0.0315	0.3767	0.1746	0.2669	0.4166	0.2214	0.2151
ATR_001_set1__107	-0.0153	0.1439	-0.6170	0.3146	-0.9382	0.1303	-0.0731	-0.0915	0.0568	-0.0963
ATR_001_set1__110	0.1297	0.1830	-0.6829	0.4887	-0.8533	0.1281	0.4803	-0.1668	0.2915	0.0601
ATR_001_set1__144	0.1422	0.2131	0.3889	-0.1269	0.5994	0.0922	-0.0300	0.1919	-0.0877	0.0213
ATR_001_set1__33	0.0821	0.0776	0.2481	0.1904	0.3703	-0.0176	-0.0076	0.1200	0.0424	0.0517
ATR_001_set20__154	0.1136	0.1446	-0.5765	0.2379	-0.9493	0.1565	0.1749	0.0992	0.1547	0.0362
ATR_001_set20__220	0.2467	0.2126	0.7491	0.5746	1.0431	0.1366	0.0983	0.2609	0.1961	0.2271
ATR_001_set20__243	-0.0096	0.1419	-0.4526	0.0934	-0.2367	-0.2468	0.0208	-0.2372	0.0117	0.2067
ATR_001_set20__264	-0.4093	-0.3397	-0.9458	-0.2181	-1.0921	-0.2084	-0.4677	-0.1384	-0.2273	-0.3528
ATR_001_set20__287	0.0106	0.0322	0.2215	-0.1658	0.4742	-0.1160	-0.0426	0.1821	-0.1083	-0.1006
ATR_001_set20__314	-0.0876	-0.3815	-0.9774	-0.5653	-1.0027	-0.1688	0.0254	-0.3462	-0.1384	-0.1944
ATR_001_set20__321	-0.1267	0.0729	-0.0478	-0.3941	0.1761	-0.1156	-0.1076	0.3085	-0.1553	-0.1747
ATR_001_set20__363	0.1672	0.3251	0.1222	0.0036	0.2516	0.0818	0.1445	0.3163	0.0744	0.1175
ATR_001_set20__392	-0.3175	-0.1197	-0.2376	-0.5528	0.2170	-0.2117	-0.2690	0.0374	-0.3494	-0.1223
ATR_001_set20__469	0.0386	-0.7113	-0.2230	0.1374	-0.3234	-0.0080	0.0390	-0.7074	0.1381	0.1885
ATR_001_set20__553	-0.3447	-0.3645	-0.3318	-0.5322	-0.3172	-0.2773	-0.3432	0.0299	-0.3057	-0.1121
ATR_001_set20__82	0.1943	0.2324	0.8669	0.6310	1.0988	0.0789	0.1774	0.0912	0.0464	0.0437
ATR_001_set20__96	0.1968	0.2557	0.5436	0.4090	0.7314	0.0770	0.0939	0.2404	0.1278	0.0272
ATR_001_set2__80	-0.4716	-0.6004	-0.8556	0.2583	-1.1147	-0.3591	-0.4708	-0.3992	-0.4834	-0.4670
ATR_001_set3__69	0.2945	0.1457	0.6924	0.4884	0.7880	0.0884	0.1084	0.1945	0.2528	0.1730
ATR_001_set7__120	0.0550	-0.0861	0.3642	0.2010	0.4574	-0.0631	-0.0877	0.0055	0.0232	-0.0365
ATR_001_set7__121	-0.2227	-0.2653	0.4221	-0.1084	0.6342	-0.2841	-0.2452	-0.2159	-0.3158	-0.2237
ATR_001_set7__172	0.2446	0.2419	0.5953	0.1573	0.9396	0.1412	0.0977	0.2834	0.1718	-0.1128
ATR_001_set7__188	-0.2433	-0.2144	0.0019	-0.3867	0.2601	-0.2204	-0.3542	-0.1823	-0.3816	-0.2809
ATR_001_set7__308	-0.4452	-0.4396	-0.6393	-0.3157	-0.6290	-0.2740	-0.3337	-0.4253	-0.4841	-0.3463
ATR_001_set7__327	-0.1777	-0.3126	0.1130	-0.1688	0.2744	-0.2959	-0.0184	0.0537	-0.2989	-0.2246
ATR_001_set7__384	0.1419	0.0509	0.6790	0.0730	0.9133	-0.0391	0.0455	-0.0091	0.0259	0.1176
ATR_001_set7__458	-0.0193	0.1077	-0.7261	0.7240	-1.0106	0.0943	0.1429	0.0903	0.1392	-0.0122
ATR_001_set7__462	0.1930	0.0531	0.7436	0.0170	0.6613	-0.0889	0.0934	0.2295	0.1992	0.4500
ATR_001_set7__542	-0.5616	-0.9442	-0.0299	-0.6974	-0.3248	-0.5743	-0.3447	-0.8648	-0.5778	-0.7674
ATR_001_set7__618	-0.3503	-0.2844	-0.1587	-0.4551	0.0576	-0.3298	-0.3609	-0.0687	-0.4020	-0.2910
ATR_001_set8__106	-0.0018	-0.0797	-0.6952	0.1986	-1.0048	-0.0033	0.0381	-0.0412	0.1101	-0.1000
ATR_001_set8__108	0.0126	0.1626	-0.7361	0.4794	-1.0074	0.1612	0.0464	0.0206	0.1804	0.2219
ATR_001_set8__116	0.4024	-0.0054	0.0978	-0.0774	0.1448	0.1266	0.3787	-0.0253	0.1355	0.3033
ATR_001_set8__153	-0.2103	0.1366	-0.6260	-0.2342	-0.7222	-0.2527	-0.6296	-0.1749	0.2034	-0.2632
