trait	n_valve	n_fibro	n_genes	mean_valve	mean_fibro	AUC	cliffs_delta	MWU_p	MWU_q
Single_ventricle_disease	3278	14146	17	0.34714412689208984	0.3157216012477875	0.6732693577230463	0.3465387154460926	0.0	0.0
Atrioventricular_septal_defect	3278	14146	23	0.34792235493659973	0.3195244073867798	0.6679231240285329	0.33584624805706587	0.0	0.0
Malformation_of_the_outflow_tract	3278	14146	57	0.3193323314189911	0.30682721734046936	0.6046181687409269	0.20923633748185377	0.0	0.0
Atrial_septal_defect	3278	14146	88	0.3385560214519501	0.3263484537601471	0.5983748146562213	0.19674962931244266	0.0	0.0
Valve_defects	3278	14146	74	0.3299655020236969	0.31750181317329407	0.5978051432084492	0.19561028641689848	0.0	0.0
Ventricular_septal_defect	3278	14146	34	0.2923094630241394	0.2805972397327423	0.5935989425020878	0.18719788500417556	0.0	0.0
PCGC_DeNovoVariants	3278	14146	61	0.3191653788089752	0.314937025308609	0.5387393405492292	0.07747868109845846	2.2150491076761147e-12	3.1643558681087354e-12
HypertrophicCardiomyopathy	3278	14146	27	0.15002955496311188	0.14198552072048187	0.49358873775764933	-0.012822524484701336	0.8740397691726685	1.0
DilatedCardiomyopathy	3278	14146	41	0.18242771923542023	0.185171976685524	0.4290271238311664	-0.14194575233766715	1.0	1.0
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	3278	14146	9	0.46435439586639404	0.4883865714073181	0.4142920076838361	-0.17141598463232777	1.0	1.0
