name	chr	start	end	TargetGene
promoter|chrX:154374388-154374888	chrX	154374388	154374888	FLNA
promoter|chr16:2155108-2156047	chr16	2155108	2156047	TRAF7
promoter|chr15:84816429-84816929	chr15	84816429	84816929	ALPK3
promoter|chr11:61755138-61755638	chr11	61755138	61755638	MYRF
promoter|chr3:52453791-52454291	chr3	52453791	52454291	TNNC1
promoter|chr19:55157482-55157982	chr19	55157482	55157982	TNNI3
promoter|chr12:49055074-49055574	chr12	49055074	49055574	KMT2D
promoter|chr11:19210321-19210821	chr11	19210321	19210821	CSRP3
promoter|chr3:46863233-46863733	chr3	46863233	46863733	MYL3
promoter|chr17:39665095-39665595	chr17	39665095	39665595	TCAP
promoter|chr12:121580765-121581265	chr12	121580765	121581265	KDM2B
promoter|chr1:202809220-202809720	chr1	202809220	202809720	KDM5B
genic|chr1:26698031-26698531	chr1	26698031	26698531	ARID1A
intergenic|chr9:124774336-124774836	chr9	124774336	124774836	NR6A1
promoter|chr15:37099890-37100390	chr15	37099890	37100390	MEIS2
intergenic|chr1:226827984-226828484	chr1	226827984	226828484	PSEN2
intergenic|chr12:57124209-57124709	chr12	57124209	57124709	LRP1
promoter|chr12:114408192-114408692	chr12	114408192	114408692	TBX5
intergenic|chr10:110641199-110641699	chr10	110641199	110641699	SMC3
genic|chr1:26698029-26698529	chr1	26698029	26698529	PIGV
promoter|chr19:43755423-43755923	chr19	43755423	43755923	SMG9
genic|chr6:157021935-157022435	chr6	157021935	157022435	ARID1B
genic|chr3:30693422-30693922	chr3	30693422	30693922	TGFBR2
promoter|chr6:1610195-1610695	chr6	1610195	1610695	FOXC1
genic|chr9:130866345-130866845	chr9	130866345	130866845	ABL1
promoter|chr19:43755427-43755927	chr19	43755427	43755927	SMG9
genic|chr11:62542690-62543190	chr11	62542690	62543190	AHNAK
genic|chr1:26789066-26789566	chr1	26789066	26789566	PIGV
intergenic|chr12:121624544-121625044	chr12	121624544	121625044	KDM2B
genic|chr1:26698041-26698541	chr1	26698041	26698541	PIGV
genic|chr1:26698044-26698544	chr1	26698044	26698544	ARID1A
genic|chr1:26789064-26789564	chr1	26789064	26789564	PIGV
promoter|chr19:43754430-43755286	chr19	43754430	43755286	SMG9
promoter|chr16:3880602-3881102	chr16	3880602	3881102	CREBBP
promoter|chr21:33541908-33543748	chr21	33541908	33543748	SON
intergenic|chr11:117819038-117819538	chr11	117819038	117819538	DSCAML1
intergenic|chr9:124774334-124774834	chr9	124774334	124774834	NR6A1
intergenic|chr16:4956076-4956576	chr16	4956076	4956576	PPL
promoter|chr10:86668418-86668918	chr10	86668418	86668918	LDB3
promoter|chr9:100098802-100099434	chr9	100098802	100099434	INVS
promoter|chr8:125091549-125092090	chr8	125091549	125092090	WASHC5
genic|chr19:4115344-4115844	chr19	4115344	4115844	MAP2K2
intergenic|chr7:5554927-5555427	chr7	5554927	5555427	ACTB
intergenic|chr11:117807410-117807910	chr11	117807410	117807910	DSCAML1
intergenic|chr10:110641193-110641693	chr10	110641193	110641693	SMC3
intergenic|chr11:117819030-117819530	chr11	117819030	117819530	DSCAML1
